,District Code,District Name,Zip Code
2150,64212,ABC UNIFIED,     
10231,70920,ABRAXIS CHARTER,95401
8630,68627,ACACIA ELEMENTARY CHARTER,95210
8629,68627,ACACIA MIDDLE CHARTER,95210
2930,64733,ACADEMIA MODERNA,90255
7538,75077,ACADEMY FOR ACADEMIC EXCELLENCE,92307
10284,73882,ACADEMY OF ARTS AND SCIENCES: SONOMA,91361
11007,72504,ACADEMY OF ARTS AND SCIENCES: THOUSAND O,91361
9877,75267,ACADEMY OF PERSONALIZED LEARNING,96002
3031,64733,ACADEMY OF SCIENCE AND ENGINEERING,90016
611,61630,ACALANES UNION HIGH,     
3734,64733,ACCELERATED,90037
4698,65615,ACCELERATED ACHIEVEMENT ACADEMY,95482
2785,64733,ACCELERATED CHARTER ELEMENTARY,90011
9336,69427,ACE CHARTER HIGH,95133
9210,10439,ACE EMPOWER ACADEMY,95116
9384,69450,ACE FRANKLIN MCKINLEY,95112
9552,69666,ACE INSPIRE ACADEMY,95112
233,61259,ACHIEVE ACADEMY,94621
517,61531,ACHIEVE CHARTER SCHOOL OF PARADISE INC.,95969
5822,66761,ACKERMAN CHARTER,     
4363,75309,ACTON-AGUA DULCE UNIFIED,     
9201,76786,ADELANTE CHARTER,93103
6955,67587,ADELANTO ELEMENTARY,     
2915,64733,ALAIN LEROY LOCKE COLLEGE PREPARATORY AC,90061
23,61119,ALAMEDA COMMUNITY LEARNING CENTER,94501
2,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,     
16,61119,ALAMEDA UNIFIED,     
38,61127,ALBANY CITY UNIFIED,     
8130,68338,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTA,92102
7929,68338,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,92102
4215,65136,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ART",91355
1498,63032,ALDER GROVE CHARTER,95501
10086,70599,ALEXANDER VALLEY UNION ELEMENTARY,     
4409,75713,ALHAMBRA UNIFIED,     
4909,65961,ALISAL UNION,     
8337,75416,ALL TRIBES CHARTER,92082
8333,75416,ALL TRIBES ELEMENTARY CHARTER,92082
10699,71795,ALLENSWORTH ELEMENTARY,     
3059,64733,ALLIANCE ALICE M. BAXTER COLLEGE-READY H,90731
2940,64733,ALLIANCE CINDY AND BILL SIMON TECHNOLOGY,90059
3077,64733,ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12,90011
2927,64733,ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4,90003
2928,64733,ALLIANCE COLLEGE-READY MIDDLE ACADEMY 5,90031
3075,64733,ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8,90063
2828,64733,ALLIANCE COLLINS FAMILY COLLEGE-READY HI,90255
2854,64733,ALLIANCE DR. OLGA MOHAN HIGH,90015
2812,64733,ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-,90007
2855,64733,ALLIANCE JACK H. SKIRBALL MIDDLE,90059
2825,64733,ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACA,90003
3076,64733,ALLIANCE KORY HUNTER MIDDLE,90001
3073,64733,ALLIANCE LEADERSHIP MIDDLE ACADEMY,90043
2898,64733,ALLIANCE LEICHTMAN-LEVINE FAMILY FOUNDAT,90065
2860,64733,ALLIANCE MARC & EVA STERN MATH AND SCIEN,90032
3019,64733,ALLIANCE MARGARET M. BLOOMFIELD TECHNOLO,90255
3106,64733,ALLIANCE MARINE - INNOVATION AND TECHNOL,91352
2890,64733,ALLIANCE MORGAN MCKINZIE HIGH,90063
2859,64733,ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,90043
2853,64733,ALLIANCE PATTI AND PETER NEUWIRTH LEADER,90037
2897,64733,ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH,90047
3017,64733,ALLIANCE RENEE AND MEYER LUSKIN ACADEMY,90043
2984,64733,ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY,90031
2985,64733,ALLIANCE TED K. TAJIMA HIGH,90026
2941,64733,ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HI,90065
8810,68825,ALMOND ACRES CHARTER ACADEMY,93451
10701,71803,ALPAUGH UNIFIED,     
9236,69369,ALPHA: BLANCA ALVARADO MIDDLE,95122
9379,69450,ALPHA: CORNERSTONE ACADEMY PREPARATORY,95122
9221,10439,ALPHA: JOSE HERNANDEZ,95122
415,61333,ALPINE COUNTY UNIFIED,     
7556,67967,ALPINE UNION ELEMENTARY,     
6973,67595,ALTA LOMA ELEMENTARY,     
10706,71811,ALTA VISTA ELEMENTARY,     
7171,67736,ALTA VISTA SOUTH PUBLIC CHARTER,92410
5824,66779,ALTA-DUTCH FLAT UNION ELEMENTARY,     
24,61119,ALTERNATIVES IN ACTION,94621
9230,69369,ALUM ROCK UNION ELEMENTARY,     
4453,65177,ALVIEW-DAIRYLAND UNION ELEMENTARY,     
1019,61994,ALVINA ELEMENTARY,     
5995,66977,ALVORD UNIFIED,     
418,10033,AMADOR COUNTY OFFICE OF EDUCATION,     
423,73981,AMADOR COUNTY UNIFIED,     
1259,62380,AMBASSADOR PHILLIP V. SANCHEZ PUBLIC CHA,93727
7950,68338,AMERICA'S FINEST CHARTER,92102
241,61259,AMERICAN INDIAN MODEL SCHOOLS,94607
333,61259,AMERICAN INDIAN PUBLIC CHARTER,94607
234,61259,AMERICAN INDIAN PUBLIC HIGH,94607
5177,66423,ANAHEIM ELEMENTARY,     
5204,66431,ANAHEIM UNION HIGH,     
9767,69856,ANDERSON UNION HIGH,     
4661,65540,ANDERSON VALLEY UNIFIED,     
3016,64733,ANIMO COLLEGE PREPARATORY ACADEMY,90002
2989,64733,ANIMO ELLEN OCHOA CHARTER MIDDLE,90023
3115,64733,ANIMO FLORENCE-FIRESTONE CHARTER MIDDLE,90003
2590,64634,ANIMO INGLEWOOD CHARTER HIGH,90305
2857,64733,ANIMO JACKIE ROBINSON HIGH,90007
2990,64733,ANIMO JAMES B. TAYLOR CHARTER MIDDLE,90059
2970,64733,ANIMO JEFFERSON CHARTER MIDDLE,90011
2678,64709,ANIMO LEADERSHIP HIGH,90301
3085,64733,ANIMO MAE JEMISON CHARTER MIDDLE,90061
2811,64733,ANIMO PAT BROWN,90001
2992,64733,ANIMO PHILLIS WHEATLEY CHARTER MIDDLE,90047
2856,64733,ANIMO RALPH BUNCHE CHARTER HIGH,90011
2799,64733,ANIMO SOUTH LOS ANGELES CHARTER,90047
2810,64733,ANIMO VENICE CHARTER HIGH,90291
2858,64733,ANIMO WATTS COLLEGE PREPARATORY ACADEMY,90061
2991,64733,ANIMO WESTERN CHARTER MIDDLE,90047
2971,64733,ANIMO WESTSIDE CHARTER MIDDLE,90066
10607,71472,ANTELOPE ELEMENTARY,     
3888,64857,ANTELOPE VALLEY LEARNING ACADEMY,93550
2182,64246,ANTELOPE VALLEY UNION HIGH,     
645,61648,ANTIOCH CHARTER ACADEMY,94509
624,61648,ANTIOCH CHARTER ACADEMY II,94509
618,61648,ANTIOCH UNIFIED,     
2896,64733,APEX ACADEMY,90028
3027,64733,APPLE ACADEMY CHARTER PUBLIC,90062
7531,75077,APPLE VALLEY UNIFIED,     
2936,64733,ARARAT CHARTER,91401
2198,64261,ARCADIA UNIFIED,     
1425,62679,ARCATA ELEMENTARY,     
11050,72546,"ARCHITECTURE, CONSTRUCTION & ENGINEERING",93010
6522,67280,ARCOHE UNION ELEMENTARY,     
4666,65557,ARENA UNION ELEMENTARY,     
246,61259,ARISE HIGH,94601
1964,63875,ARMONA UNION ELEMENTARY,     
6944,75259,AROMAS/SAN JUAN UNIFIED,     
7935,68338,ARROYO PASEO CHARTER HIGH,92105
7649,68023,ARROYO VISTA CHARTER,91915
2986,64733,ARTS IN ACTION COMMUNITY CHARTER,90023
3117,64733,ARTS IN ACTION COMMUNITY MIDDLE,90023
1657,63313,ARVIN UNION,     
7312,67876,ASA CHARTER,92405
337,61259,ASCEND,94601
1097,62166,ASPEN VALLEY PREPARATORY ACADEMY,93705
6750,67447,ASPIRE ALEXANDER TWILIGHT COLLEGE PREPAR,95821
6751,67447,ASPIRE ALEXANDER TWILIGHT SECONDARY ACAD,95821
2120,10199,ASPIRE ANTONIO MARIA LUGO ACADEMY,90255
8670,68676,ASPIRE APEX ACADEMY,95202
8538,68585,ASPIRE BENJAMIN HOLT COLLEGE PREPARATORY,95212
8552,68585,ASPIRE BENJAMIN HOLT MIDDLE SCHOOL,95212
227,61259,ASPIRE BERKLEY MAYNARD ACADEMY,94608
6671,67439,ASPIRE CAPITOL HEIGHTS ACADEMY,95817
3058,64733,ASPIRE CENTENNIAL COLLEGE PREPARATORY AC,90255
263,61259,ASPIRE COLLEGE ACADEMY,94605
8951,68999,ASPIRE EAST PALO ALTO CHARTER,94303
257,61259,ASPIRE ERES ACADEMY,94601
2976,64733,ASPIRE FIRESTONE ACADEMY CHARTER,90280
2975,64733,ASPIRE GATEWAY ACADEMY CHARTER,90280
254,61259,ASPIRE GOLDEN STATE COLLEGE PREPARATORY,94610
3013,64733,ASPIRE INSKEEP ACADEMY CHARTER,90003
3012,64733,ASPIRE JUANITA TATE ACADEMY CHARTER,90003
2879,64733,ASPIRE JUNIOR COLLEGIATE ACADEMY,90255
8664,68676,ASPIRE LANGSTON HUGHES ACADEMY,95205
272,61259,ASPIRE LIONEL WILSON COLLEGE PREPARATORY,94603
335,61259,ASPIRE MONARCH ACADEMY,94603
2122,10199,ASPIRE OLLIN UNIVERSITY PREPARATORY ACAD,90255
2978,64733,ASPIRE PACIFIC ACADEMY,90255
8660,68676,ASPIRE PORT CITY ACADEMY,95205
796,61796,ASPIRE RICHMOND CA. COLLEGE PREPARATORY,94806
797,61796,ASPIRE RICHMOND TECHNOLOGY ACADEMY,94806
8589,68585,ASPIRE RIVER OAKS CHARTER,95210
8653,68676,ASPIRE ROSA PARKS ACADEMY,95206
3011,64733,ASPIRE SLAUSON ACADEMY CHARTER,90003
10332,71043,ASPIRE SUMMIT CHARTER ACADEMY,95351
2932,64733,ASPIRE TITAN ACADEMY,90255
273,61259,ASPIRE TRIUMPH TECHNOLOGY ACADEMY,94605
10465,71290,ASPIRE UNIVERSITY CHARTER,95355
10415,71175,ASPIRE VANGUARD COLLEGE PREPARATORY ACAD,95319
8587,68585,ASPIRE VINCENT SHALVEY ACADEMY,95212
4364,75309,ASSURANCE LEARNING ACADEMY,93535
8752,68700,ATASCADERO UNIFIED,     
6754,67447,ATKINSON ACADEMY CHARTER,95608
4743,65631,ATWATER ELEMENTARY,     
5826,66787,AUBURN UNION ELEMENTARY,     
7979,68338,AUDEO CHARTER,92121
3955,64881,AVESON GLOBAL LEADERSHIP ACADEMY,91001
3956,64881,AVESON SCHOOL OF LEADERS,91001
2211,64279,AZUSA UNIFIED,     
7449,73858,BAKER VALLEY UNIFIED,     
1662,63321,BAKERSFIELD CITY,     
2230,64287,BALDWIN PARK UNIFIED,     
9067,69104,BALLARD ELEMENTARY,     
4754,65649,BALLICO-CRESSEY ELEMENTARY,     
1574,63123,BALLINGTON ACADEMY FOR THE ARTS AND SCIE,92243
445,61382,BANGOR UNION ELEMENTARY,     
6022,66985,BANNING UNIFIED,     
8498,68486,BANTA ELEMENTARY,     
7783,68189,BARONA INDIAN CHARTER,92040
6985,67611,BARSTOW UNIFIED,     
4456,65185,BASS LAKE JOINT UNION ELEMENTARY,     
2254,64295,BASSETT UNIFIED,     
225,61259,BAY AREA TECHNOLOGY,94605
4903,10272,BAY VIEW ACADEMY,93940
8850,68858,BAYSHORE ELEMENTARY,     
8313,73791,BAYSHORE PREPARATORY CHARTER,92078
7836,68221,BEACON CLASSICAL ACADEMY NATIONAL CITY,91950
6999,67637,BEAR VALLEY UNIFIED,     
1706,63339,BEARDSLEY ELEMENTARY,     
6032,66993,BEAUMONT UNIFIED,     
8241,68452,BELLA MENTE MONTESSORI ACADEMY,92083
9773,69872,BELLA VISTA ELEMENTARY,     
10931,72306,BELLEVIEW ELEMENTARY,     
10094,70615,BELLEVUE UNION,     
8795,68809,BELLEVUE-SANTA FE CHARTER,93405
2263,64303,BELLFLOWER UNIFIED,     
8853,68866,BELMONT-REDWOOD SHORES ELEMENTARY,     
1711,63347,BELRIDGE ELEMENTARY,     
9968,70524,BENICIA UNIFIED,     
10101,70623,BENNETT VALLEY UNION ELEMENTARY,     
46,61143,BERKELEY UNIFIED,     
9259,69377,BERRYESSA UNION ELEMENTARY,     
2813,64733,BERT CORONA CHARTER,91331
3107,64733,BERT CORONA CHARTER HIGH,91331
2280,64311,BEVERLY HILLS UNIFIED,     
1021,62026,BIG CREEK ELEMENTARY,     
1439,62695,BIG LAGOON UNION ELEMENTARY,     
10963,75184,BIG OAK FLAT-GROVELAND UNIFIED,     
1014,10108,BIG PICTURE EDUCATIONAL ACADEMY,93706
1625,63248,BIG PINE UNIFIED,     
9897,70185,BIG SPRINGS UNION ELEMENTARY,     
5045,75150,BIG SUR CHARTER,93940
5044,75150,BIG SUR UNIFIED,     
2088,64089,BIG VALLEY JOINT UNIFIED,     
447,61408,BIGGS UNIFIED,     
3136,64733,BIRMINGHAM COMMUNITY CHARTER HIGH,91406
1640,76687,BISHOP UNIFIED,     
6911,67454,BITTERWATER-TULLY ELEMENTARY,     
9775,69880,BLACK BUTTE UNION ELEMENTARY,     
1002,73783,BLACK OAK MINE UNIFIED,     
1713,63354,BLAKE ELEMENTARY,     
9069,69112,BLOCHMAN UNION ELEMENTARY,     
1441,62703,BLUE LAKE UNION ELEMENTARY,     
480,61424,BLUE OAK CHARTER,95926
9899,70193,BOGUS ELEMENTARY,     
4538,65300,BOLINAS-STINSON UNION,     
2288,64329,BONITA UNIFIED,     
9673,69732,BONNY DOON UNION ELEMENTARY,     
8353,76851,BONSALL UNIFIED,     
7562,67983,BORREGO SPRINGS UNIFIED,     
4923,65979,BRADLEY UNION ELEMENTARY,     
1543,63073,BRAWLEY ELEMENTARY,     
1549,63081,BRAWLEY UNION HIGH,     
5226,66449,BREA-OLINDA UNIFIED,     
647,61655,BRENTWOOD UNION ELEMENTARY,     
551,61556,BRET HARTE UNION HIGH,     
10972,10561,BRIDGES CHARTER,91360
1443,62729,BRIDGEVILLE ELEMENTARY,     
10978,72447,BRIGGS ELEMENTARY,     
2875,64733,BRIGHT STAR SECONDARY CHARTER ACADEMY,90045
8862,68874,BRISBANE ELEMENTARY,     
10546,71357,BRITTAN ELEMENTARY,     
10548,71365,BROWNS ELEMENTARY,     
929,61838,BUCKEYE UNION ELEMENTARY,     
9094,69138,BUELLTON UNION ELEMENTARY,     
5237,66456,BUENA PARK ELEMENTARY,     
10708,71829,BUENA VISTA ELEMENTARY,     
9206,10439,BULLIS CHARTER,94022
2304,64337,BURBANK UNIFIED,     
8866,68882,BURLINGAME ELEMENTARY,     
10667,71662,BURNT RANCH ELEMENTARY,     
1023,62042,BURREL UNION ELEMENTARY,     
10710,71837,BURTON ELEMENTARY,     
437,10041,BUTTE COUNTY OFFICE OF EDUCATION,     
9952,73684,BUTTE VALLEY UNIFIED,     
9901,70201,BUTTEVILLE UNION ELEMENTARY,     
1739,63370,BUTTONWILLOW UNION ELEMENTARY,     
660,61663,BYRON UNION ELEMENTARY,     
8875,68890,CABRILLO UNIFIED,     
7569,67991,CAJON VALLEY UNION,     
547,10058,CALAVERAS COUNTY OFFICE OF EDUCATION,     
556,61564,CALAVERAS UNIFIED,     
1552,63099,CALEXICO UNIFIED,     
605,10074,CALIBER: BETA ACADEMY,94804
10055,70581,CALIBER: CHANGEMAKERS ACADEMY,94590
1741,63388,CALIENTE UNION ELEMENTARY,     
3114,64733,CALIFORNIA COLLEGIATE CHARTER,90062
2071,64055,CALIFORNIA CONNECTIONS ACADEMY AT NORTH B,95461
8642,68650,CALIFORNIA CONNECTIONS ACADEMY AT RIPON,95366
10702,71803,CALIFORNIA CONNECTIONS ACADEMYATCENTRAL,93201
6517,32276,CALIFORNIA EDUCATION AUTHORITY (CEA) HEA,     
10665,10538,CALIFORNIA HERITAGE YOUTHBUILD ACADEMY I,96002
6674,67439,CALIFORNIA MONTESSORI PROJECT - CAPITOL,95826
6535,67314,CALIFORNIA MONTESSORI PROJECT - ELK GROV,95624
6748,67447,CALIFORNIA MONTESSORI PROJECT-SAN JUAN C,95608
932,61838,CALIFORNIA MONTESSORI PROJECT-SHINGLE SP,95682
8334,75416,CALIFORNIA PACIFIC CHARTER SCHOOLS - SAN,92086
10567,71415,CALIFORNIA PREP SUTTER 8-12,95957
10566,71415,CALIFORNIA PREP SUTTER K-7,95957
12,31609,CALIFORNIA SCHOOL FOR THE BLIND (STATE S,     
14,31617,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (,     
5993,31625,CALIFORNIA SCHOOL FOR THE DEAF-RIVERSIDE,     
7399,67892,CALIFORNIA STEAM SAN BERNARDINO,93562
9174,75010,CALIFORNIA STEAM SANTA BARBARA,93254
10140,70797,CALIFORNIA STEAM SONOMA,94952
1242,62331,CALIFORNIA VIRTUAL ACADEMY AT FRESNO,93065
10939,72363,CALIFORNIA VIRTUAL ACADEMY AT JAMESTOWN,93063
1966,63875,CALIFORNIA VIRTUAL ACADEMY AT KINGS,93065
4153,65094,CALIFORNIA VIRTUAL ACADEMY AT LOS ANGELES,93065
1845,63628,CALIFORNIA VIRTUAL ACADEMY AT MARICOPA,93065
8192,68403,CALIFORNIA VIRTUAL ACADEMY AT SAN DIEGO,93065
8628,68627,CALIFORNIA VIRTUAL ACADEMY AT SAN JOAQUIN,93065
8891,68916,CALIFORNIA VIRTUAL ACADEMY AT SAN MATEO,93065
10139,70797,CALIFORNIA VIRTUAL ACADEMY AT SONOMA,93065
10565,71415,CALIFORNIA VIRTUAL ACADEMY AT SUTTER,93065
1564,63107,CALIPATRIA UNIFIED,     
5065,66241,CALISTOGA JOINT UNIFIED,     
11049,72546,CAMARILLO ACADEMY OF PROGRESSIVE EDUCATI,93010
9274,69385,CAMBRIAN,     
2983,64733,CAMINO NUEVO ACADEMY #2,90020
3741,64733,CAMINO NUEVO CHARTER ACADEMY,90057
3015,64733,CAMINO NUEVO CHARTER ACADEMY #4,90026
2809,64733,CAMINO NUEVO CHARTER HIGH,90026
2973,64733,CAMINO NUEVO ELEMENTARY #3,90007
3069,64733,CAMINO NUEVO HIGH #2,90004
942,61846,CAMINO SCIENCE AND NATURAL RESOURCES CHA,95709
941,61846,CAMINO UNION ELEMENTARY,     
9282,69393,CAMPBELL UNION,     
9296,69401,CAMPBELL UNION HIGH,     
11286,72728,CAMPTONVILLE ELEMENTARY,     
665,61671,CANYON ELEMENTARY,     
1388,62554,CAPAY JOINT UNION ELEMENTARY,     
5252,66464,CAPISTRANO CONNECTIONS ACADEMY,92675
5246,66464,CAPISTRANO UNIFIED,     
6678,67439,CAPITOL COLLEGIATE ACADEMY,95832
7600,68007,CARDIFF ELEMENTARY,     
8265,73551,CARLSBAD UNIFIED,     
4926,65987,CARMEL UNIFIED,     
9097,69146,CARPINTERIA UNIFIED,     
1117,62166,CARTER G. WOODSON PUBLIC CHARTER,93726
1368,75598,CARUTHERS UNIFIED,     
7317,67876,"CASA RAMONA ACADEMY FOR TECHNOLOGY, COMM",92411
9778,69914,CASCADE UNION ELEMENTARY,     
2327,64345,CASTAIC UNION,     
9783,69922,CASTLE ROCK UNION ELEMENTARY,     
66,61150,CASTRO VALLEY UNIFIED,     
8766,68726,CAYUCOS ELEMENTARY,     
9695,69799,CEIBA COLLEGE PREPARATORY ACADEMY,95076
4237,73437,CELERITY ACHERNAR CHARTER,90222
2988,64733,CELERITY CARDINAL CHARTER,91352
2888,64733,CELERITY DYAD CHARTER,90011
2826,64733,CELERITY NASCENT CHARTER,90018
2977,64733,CELERITY OCTAVIA CHARTER,90065
2987,64733,CELERITY PALMATI CHARTER,91606
2889,64733,CELERITY TROIKA CHARTER,90041
2884,64733,CENTER FOR ADVANCED LEARNING,90011
7332,67876,CENTER FOR LEARNING AND EDUCATIONAL SUCC,92405
6821,73973,CENTER JOINT UNIFIED,     
2332,64352,CENTINELA VALLEY UNION HIGH,     
2788,64733,CENTRAL CITY VALUE,90004
7008,67645,CENTRAL ELEMENTARY,     
1310,73965,CENTRAL UNIFIED,     
1969,63883,CENTRAL UNION ELEMENTARY,     
1569,63115,CENTRAL UNION HIGH,     
5310,66472,CENTRALIA ELEMENTARY,     
2675,64709,CENTURY ACADEMY FOR EXCELLENCE,90305
2674,64709,CENTURY COMMUNITY CHARTER,90301
10324,71043,CERES UNIFIED,     
7017,67652,CHAFFEY JOINT UNION HIGH,     
2823,64733,CHAMPS - CHARTER HS OF ARTS-MULTIMEDIA &,91405
2341,64378,CHARTER OAK UNIFIED,     
9479,69583,CHARTER SCHOOL OF MORGAN HILL,95037
7973,68338,CHARTER SCHOOL OF SAN DIEGO,92121
10350,71050,CHATOM UNION,     
4512,75606,CHAWANAKEE UNIFIED,     
5123,66316,CHICAGO PARK ELEMENTARY,     
478,61424,CHICO COUNTRY DAY,95928
451,61424,CHICO UNIFIED,     
2583,64634,CHILDREN OF PROMISE PREPARATORY ACADEMY,90303
529,61531,CHILDREN'S COMMUNITY CHARTER,95969
3744,64733,CHIME INSTITUTE'S SCHWARZENEGGER COMMUNI,91364
7030,67678,CHINO VALLEY UNIFIED,     
4462,65193,CHOWCHILLA ELEMENTARY,     
4466,65201,CHOWCHILLA UNION HIGH,     
9761,10454,CHRYSALIS CHARTER,96073
4933,65995,CHUALAR UNION,     
7603,68023,CHULA VISTA ELEMENTARY,     
7647,68023,CHULA VISTA LEARNING COMMUNITY CHARTER,91911
6913,67462,CIENEGA UNION ELEMENTARY,     
10105,70649,CINNABAR ELEMENTARY,     
3030,64733,CITIZENS OF THE WORLD 2,90028
3032,64733,CITIZENS OF THE WORLD 3,90064
2972,64733,CITIZENS OF THE WORLD CHARTER HOLLYWOOD,90028
5172,10306,CITRUS SPRINGS CHARTER,92705
8376,68478,CITY ARTS AND TECH HIGH,94112
7951,68338,CITY HEIGHTS PREPARATORY CHARTER,92105
3067,64733,CITY LANGUAGE IMMERSION CHARTER,90008
2353,64394,CLAREMONT UNIFIED,     
7715,68098,CLASSICAL ACADEMY,92025
7717,68106,CLASSICAL ACADEMY HIGH,92025
1025,62109,CLAY JOINT ELEMENTARY,     
609,10074,CLAYTON VALLEY CHARTER HIGH,94521
5126,66324,CLEAR CREEK ELEMENTARY,     
2703,64725,CLEAR PASSAGE EDUCATIONAL CENTER,90813
3094,64733,CLEMENTE CHARTER,90270
10107,70656,CLOVERDALE UNIFIED,     
1027,62117,CLOVIS UNIFIED,     
6380,73676,COACHELLA VALLEY UNIFIED,     
1077,62125,COALINGA-HURON UNIFIED,     
8837,75465,COAST UNIFIED,     
8284,73569,COASTAL ACADEMY,92056
1431,62679,COASTAL GROVE CHARTER,95521
10669,71670,COFFEE CREEK ELEMENTARY,     
9106,69161,COLD SPRING ELEMENTARY,     
5833,66795,COLFAX ELEMENTARY,     
9108,69179,COLLEGE ELEMENTARY,     
7819,68213,COLLEGE PREPARATORY MIDDLE,91942
7067,67686,COLTON JOINT UNIFIED,     
9785,69948,COLUMBIA ELEMENTARY,     
10933,72348,COLUMBIA UNION,     
10719,71852,COLUMBINE ELEMENTARY,     
576,10066,COLUSA COUNTY OFFICE OF EDUCATION,     
578,61598,COLUSA UNIFIED,     
4374,75309,COMMUNITY COLLABORATIVE CHARTER,93510
7661,68049,COMMUNITY MONTESSORI CHARTER,92026
6854,76505,COMMUNITY OUTREACH ACADEMY,95652
3098,64733,COMMUNITY PREPARATORY ACADEMY,90044
5258,66464,COMMUNITY ROOTS ACADEMY,92677
4,10017,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,94606
1243,62331,COMPASS CHARTER SCHOOLS OF FRESNO,91361
4377,75309,COMPASS CHARTER SCHOOLS OF LOS ANGELES,91361
7824,68213,COMPASS CHARTER SCHOOLS OF SAN DIEGO,91361
4234,73437,COMPTON UNIFIED,     
11146,73759,CONEJO VALLEY UNIFIED,     
8961,69005,CONNECT COMMUNITY CHARTER,94063
10521,75572,CONNECTING WATERS CHARTER,95386
242,61259,CONSERVATORY OF VOCAL/INSTRUMENTAL ARTS,94619
600,10074,CONTRA COSTA COUNTY OFFICE OF EDUCATION,     
607,10074,CONTRA COSTA SCHOOL OF PERFORMING ARTS,94598
1974,63891,CORCORAN JOINT UNIFIED,     
438,10041,CORE BUTTE CHARTER,95926
11288,72728,CORE CHARTER,95901
5817,10314,CORE PLACER CHARTER,95713
10615,71498,CORNING UNION ELEMENTARY,     
10623,71506,CORNING UNION HIGH,     
6046,67033,CORONA-NORCO UNIFIED,     
7652,68031,CORONADO UNIFIED,     
10282,73882,COTATI-ROHNERT PARK UNIFIED,     
9790,69955,COTTONWOOD UNION ELEMENTARY,     
7825,68213,COUNTY COLLABORATIVE CHARTER,91962
2366,64436,COVINA-VALLEY UNIFIED,     
10,10017,COX ACADEMY,94603
8483,68478,CREATIVE ARTS CHARTER,94115
10283,73882,CREDO HIGH,94928
5870,66852,CREEKSIDE CHARTER,96146
