,District Code,District Name,Zip Code
2793,64733,CRENSHAW ARTS-TECHNOLOGY CHARTER HIGH,90008
10782,72140,CRESCENT VALLEY PUBLIC CHARTER,93291
1300,62547,CRESCENT VIEW SOUTH CHARTER,93722
1012,10108,CRESCENT VIEW WEST CHARTER,93726
2944,64733,CROWN PREPARATORY ACADEMY,90018
7096,67694,CUCAMONGA ELEMENTARY,     
1445,62737,CUDDEBACK UNION ELEMENTARY,     
2385,64444,CULVER CITY UNIFIED,     
9304,69419,CUPERTINO UNION,     
10936,72355,CURTIS CREEK ELEMENTARY,     
10721,71860,CUTLER-OROSI JOINT UNIFIED,     
1447,62745,CUTTEN ELEMENTARY,     
9173,75010,CUYAMA JOINT UNIFIED,     
5320,66480,CYPRESS ELEMENTARY,     
4437,76869,DA VINCI COMMUNICATIONS HIGH,90250
4435,76869,DA VINCI DESIGN,90250
4436,76869,DA VINCI INNOVATION ACADEMY,90250
4434,76869,DA VINCI SCIENCE,90250
8013,68338,DARNALL CHARTER,92115
11214,72678,DAVIS JOINT UNIFIED,     
1628,63271,DEATH VALLEY UNIFIED,     
7666,68049,DEHESA CHARTER,92026
7658,68049,DEHESA ELEMENTARY,     
7667,68056,DEL MAR UNION ELEMENTARY,     
902,10082,DEL NORTE COUNTY OFFICE OF EDUCATION,     
908,61820,DEL NORTE COUNTY UNIFIED,     
1756,63412,DELANO JOINT UNION HIGH,     
1743,63404,DELANO UNION ELEMENTARY,     
4856,75366,DELHI UNIFIED,     
9903,70227,DELPHIC ELEMENTARY,     
6644,67413,DELTA ELEMENTARY CHARTER,95612
10354,71068,DENAIR UNIFIED,     
6098,67041,DESERT CENTER UNIFIED,     
2196,64246,DESERT SANDS CHARTER,93534
6100,67058,DESERT SANDS UNIFIED,     
6954,10363,DESERT TRAILS PREPARATORY ACADEMY,92301
9024,69047,DESIGN TECH HIGH,94010
1761,63420,DI GIORGIO ELEMENTARY,     
7659,68049,DIEGO HILLS CHARTER,92115
7564,67983,DIEGO SPRINGS ACADEMY,91910
7765,68163,DIEGO VALLEY CHARTER,92021
10901,75531,DINUBA UNIFIED,     
7644,68023,DISCOVERY CHARTER,91910
9219,10439,DISCOVERY CHARTER II,95123
2886,64733,DISCOVERY CHARTER PREPARATORY SCHOOL #2,91342
4540,65318,DIXIE ELEMENTARY,     
9980,70532,DIXON MONTESSORI CHARTER,95620
9978,70532,DIXON UNIFIED,     
4849,75317,DOS PALOS ORO LOMA JOINT UNIFIED,     
10671,71696,DOUGLAS CITY ELEMENTARY,     
2396,64451,DOWNEY UNIFIED,     
265,61259,DOWNTOWN CHARTER ACADEMY,94606
9213,10439,DOWNTOWN COLLEGE PREP - ALUM ROCK,95122
9555,69666,DOWNTOWN COLLEGE PREPARATORY,95110
9551,69666,DOWNTOWN COLLEGE PREPARATORY MIDDLE,95110
3745,64733,DOWNTOWN VALUE,90015
8663,68676,DR. LEWIS DOLPHIN STALLWORTH SR. CHARTER,95205
5836,66803,DRY CREEK JOINT ELEMENTARY,     
2419,64469,DUARTE UNIFIED,     
383,75093,DUBLIN UNIFIED,     
10730,71894,DUCOR UNION ELEMENTARY,     
10113,70672,DUNHAM ELEMENTARY,     
9905,70243,DUNSMUIR ELEMENTARY,     
9907,70250,DUNSMUIR JOINT UNION HIGH,     
481,61432,DURHAM UNIFIED,     
7955,68338,E3 CIVIC HIGH,92101
10732,71902,EARLIMART ELEMENTARY,     
266,61259,EAST BAY INNOVATION ACADEMY,94605
10550,71373,EAST NICOLAUS JOINT UNION HIGH,     
219,61259,EAST OAKLAND LEADERSHIP ACADEMY,94605
9035,69062,EAST PALO ALTO ACADEMY,94303
9331,69427,EAST SIDE UNION HIGH,     
2438,64485,EAST WHITTIER CITY ELEMENTARY,     
4888,73668,EASTERN SIERRA UNIFIED,     
2430,64477,EASTSIDE UNION ELEMENTARY,     
10527,75739,ECADEMY CHARTER AT CRANE,95380
8417,68478,EDISON CHARTER ACADEMY,94114
1763,63438,EDISON ELEMENTARY,     
1018,10108,EDISON-BETHUNE CHARTER ACADEMY,93706
3024,64733,EDNOVATE - USC HYBRID HIGH,90071
5609,66670,EDWARD B. COLE ACADEMY,92701
4690,65607,EEL RIVER CHARTER,95428
7570,67991,EJE ELEMENTARY ACADEMY CHARTER,92020
7572,67991,EJE MIDDLE ACADEMY,92020
3173,64733,EL CAMINO REAL CHARTER HIGH,91367
1573,63123,EL CENTRO ELEMENTARY,     
921,10090,EL DORADO COUNTY OFFICE OF EDUCATION,     
944,61853,EL DORADO UNION HIGH,     
2453,64501,EL MONTE CITY,     
2470,64519,EL MONTE UNION HIGH,     
4756,65680,EL NIDO ELEMENTARY,     
2479,64527,EL RANCHO UNIFIED,     
2494,64535,EL SEGUNDO UNIFIED,     
5669,66670,EL SOL SANTA ANA SCIENCE AND ARTS ACADEM,92701
1953,75168,EL TEJON UNIFIED,     
10698,10546,ELEANOR ROOSEVELT COMMUNITY LEARNING CEN,93292
7960,68338,ELEVATE ELEMENTARY,92123
6524,67314,ELK GROVE UNIFIED,     
1766,63446,ELK HILLS ELEMENTARY,     
10626,71514,ELKINS ELEMENTARY,     
6590,67322,ELVERTA JOINT ELEMENTARY,     
82,61168,EMERY UNIFIED,     
7169,67736,EMPIRE SPRINGS CHARTER,92342
10360,71076,EMPIRE UNION ELEMENTARY,     
7959,68338,EMPOWER CHARTER,92111
4376,75309,EMPOWER GENERATIONS,93536
11211,10579,EMPOWERING POSSIBILITIES INTERNATIONAL C,95691
7677,68080,ENCINITAS UNION ELEMENTARY,     
6315,67215,ENCORE HIGH SCHOOL FOR THE ARTS - RIVERS,92501
7484,75044,ENCORE JR./SR. HIGH SCHOOL FOR THE PERFO,92345
2925,64733,ENDEAVOR COLLEGE PREPARATORY CHARTER,90012
9794,69971,ENTERPRISE ELEMENTARY,     
2663,64691,ENVIRONMENTAL CHARTER HIGH,90260
2123,10199,ENVIRONMENTAL CHARTER MIDDLE,90247
2139,10199,ENVIRONMENTAL CHARTER MIDDLE - INGLEWOOD,90303
3,10017,ENVISION ACADEMY FOR ARTS & TECHNOLOGY,94612
264,61259,EPIC CHARTER,94601
5169,10306,EPIC CHARTER SCHOOL,92805
7696,68098,EPIPHANY PREP CHARTER,92025
3029,64733,EQUITAS ACADEMY #2,90005
2924,64733,EQUITAS ACADEMY CHARTER,90015
8502,68502,ESCALON CHARTER ACADEMY,95320
8501,68502,ESCALON UNIFIED,     
7720,68106,ESCONDIDO CHARTER HIGH,92027
7688,68098,ESCONDIDO UNION,     
7716,68106,ESCONDIDO UNION HIGH,     
9346,69427,ESCUELA POPULAR ACCELERATED FAMILY LEARN,95127
9332,69427,ESCUELA POPULAR/CENTER FOR TRAINING AND,95127
11232,72686,ESPARTO UNIFIED,     
7102,67702,ETIWANDA ELEMENTARY,     
1521,75515,EUREKA CITY SCHOOLS,     
5847,66829,EUREKA UNION,     
7945,68338,EVANGELINE ROBERTS INSTITUTE OF LEARNING,92114
9034,69062,EVEREST PUBLIC HIGH,94063
3096,64733,EVEREST VALUE,90005
9356,69435,EVERGREEN ELEMENTARY,     
10628,71522,EVERGREEN UNION,     
7323,67876,EXCEL PREP CHARTER,92404
6249,67157,EXCEL PREP CHARTER - IE,92583
7426,67934,EXCELSIOR CHARTER,92395
3065,64733,EXECUTIVE PREPARATORY ACADEMY OF FINANCE,90249
10918,76836,EXETER UNIFIED,     
2993,64733,EXTERA PUBLIC,90033
3079,64733,EXTERA PUBLIC SCHOOL NO. 2,90023
4471,65243,EZEQUIEL TAFOYA ALVARADO ACADEMY,93638
1768,63461,FAIRFAX ELEMENTARY,     
9988,70540,FAIRFIELD-SUISUN UNIFIED,     
9805,69989,FALL RIVER JOINT UNIFIED,     
7725,68114,FALLBROOK UNION ELEMENTARY,     
7737,68122,FALLBROOK UNION HIGH,     
2334,64352,FAMILY FIRST CHARTER,90260
9070,69112,FAMILY PARTNERSHIP HOME STUDY CHARTER,93454
10872,75325,FARMERSVILLE UNIFIED,     
7626,68023,FEASTER (MAE L.) CHARTER,91910
485,61440,FEATHER FALLS UNION ELEMENTARY,     
3345,64733,FENTON AVENUE CHARTER,91342
3100,64733,FENTON STEM ACADEMY: ELEMENTARY CENTER F,91352
1513,75374,FERNDALE UNIFIED,     
1449,62794,FIELDBROOK ELEMENTARY,     
10981,72454,FILLMORE UNIFIED,     
1304,73809,FIREBAUGH-LAS DELTAS UNIFIED,     
8378,68478,FIVE KEYS ADULT SCHOOL (SF SHERIFF'S),94107
8374,68478,FIVE KEYS CHARTER (SF SHERIFF'S),94066
8379,68478,FIVE KEYS INDEPENDENCE HS (SF SHERIFF'S),94107
10636,71530,FLOURNOY UNION ELEMENTARY,     
6594,67330,FOLSOM-CORDOVA UNIFIED,     
7121,67710,FONTANA UNIFIED,     
10927,10553,FOOTHILL LEADERSHIP ACADEMY,95370
454,61424,FOREST RANCH CHARTER,95942
5856,66837,FORESTHILL UNION ELEMENTARY,     
10116,70680,FORESTVILLE UNION ELEMENTARY,     
9909,70292,FORKS OF SALMON ELEMENTARY,     
4669,65565,FORT BRAGG UNIFIED,     
10120,70698,FORT ROSS ELEMENTARY,     
2113,75036,FORT SAGE UNIFIED,     
1531,76802,FORTUNA ELEMENTARY,     
1451,62810,FORTUNA UNION HIGH,     
6516,10348,FORTUNE,95823
5328,66498,FOUNTAIN VALLEY ELEMENTARY,     
1087,62158,FOWLER UNIFIED,     
275,61259,FRANCOPHONE CHARTER SCHOOL OF OAKLAND,94605
10552,71381,FRANKLIN ELEMENTARY,     
9376,69450,FRANKLIN-MCKINLEY ELEMENTARY,     
85,61176,FREMONT UNIFIED,     
9400,69468,FREMONT UNION HIGH,     
9815,69997,FRENCH GULCH-WHISKEYTOWN ELEMENTARY,     
1456,62828,FRESHWATER ELEMENTARY,     
1011,10108,FRESNO COUNTY OFFICE OF EDUCATION,     
1096,62166,FRESNO UNIFIED,     
1773,63479,FRUITVALE ELEMENTARY,     
1426,62679,FUENTE NUEVA CHARTER,95521
5340,66506,FULLERTON ELEMENTARY,     
5362,66514,FULLERTON JOINT UNION HIGH,     
10528,75739,FUSION CHARTER,95380
6855,76505,FUTURES HIGH,95660
2824,64733,GABRIELLA CHARTER,90026
6628,67348,GALT JOINT UNION ELEMENTARY,     
6636,67355,GALT JOINT UNION HIGH,     
5372,66522,GARDEN GROVE UNIFIED,     
1459,62836,GARFIELD ELEMENTARY,     
2500,64550,GARVEY ELEMENTARY,     
5988,10330,GATEWAY COLLEGE AND CAREER ACADEMY,92506
8398,68478,GATEWAY HIGH,94115
6752,67447,GATEWAY INTERNATIONAL,95864
8384,68478,GATEWAY MIDDLE,94115
9873,75267,GATEWAY UNIFIED,     
9911,70318,GAZELLE UNION ELEMENTARY,     
1779,63487,GENERAL SHAFTER ELEMENTARY,     
10638,71548,GERBER UNION ELEMENTARY,     
10122,70706,GEYSERVILLE UNIFIED,     
2874,64733,GIFTED ACADEMY OF MATHEMATICS AND ENTREP,90043
9412,69484,GILROY PREP (A NAVIGATOR SCHOOL),95020
9408,69484,GILROY UNIFIED,     
3112,64733,GIRLS ATHLETIC LEADERSHIP SCHOOL LOS ANG,91402
4527,76414,GLACIER HIGH SCHOOL CHARTER,93644
2512,64568,GLENDALE UNIFIED,     
2545,64576,GLENDORA UNIFIED,     
1382,10116,GLENN COUNTY OFFICE OF EDUCATION,     
2881,64733,GLOBAL EDUCATION ACADEMY,90037
3095,64733,GLOBAL EDUCATION ACADEMY 2,90007
3078,64733,GLOBAL EDUCATION ACADEMY MIDDLE,90007
5180,66423,GOALS ACADEMY,92801
2914,64733,GOETHE INTERNATIONAL CHARTER,90066
953,61879,GOLD OAK UNION ELEMENTARY,     
10954,72413,GOLD RUSH CHARTER,95370
956,61887,GOLD TRAIL UNION ELEMENTARY,     
9894,10470,GOLDEN EAGLE CHARTER,96067
488,61457,GOLDEN FEATHER UNION ELEMENTARY,     
131,61192,GOLDEN OAK MONTESSORI OF HAYWARD,94546
1349,75234,GOLDEN PLAINS UNIFIED,     
11004,72470,GOLDEN VALLEY CHARTER,93003
6753,67447,GOLDEN VALLEY ORCHARD,95662
6749,67447,GOLDEN VALLEY RIVER,95662
4501,75580,GOLDEN VALLEY UNIFIED,     
9111,69195,GOLETA UNION ELEMENTARY,     
7943,68338,GOMPERS PREPARATORY ACADEMY,92102
5056,75473,GONZALES UNIFIED,     
2556,64584,GORMAN JOINT,     
2557,64584,GORMAN LEARNING CENTER,92374
2584,64634,GRACE HOPPER STEM ACADEMY,90301
3186,64733,GRANADA HILLS CHARTER HIGH,91344
9817,70003,GRANT ELEMENTARY,     
5128,66332,GRASS VALLEY ELEMENTARY,     
10368,71084,GRATTON ELEMENTARY,     
10125,70714,GRAVENSTEIN UNION ELEMENTARY,     
4935,66027,GRAVES ELEMENTARY,     
10316,10504,GREAT VALLEY ACADEMY,95350
10444,71266,GREAT VALLEY ACADEMY - SALIDA,95356
7763,68155,GREATER SAN DIEGO ACADEMY,91935
1461,62851,GREEN POINT ELEMENTARY,     
4779,65755,GREEN VALLEY CHARTER,93635
1781,63503,GREENFIELD UNION,     
4937,66035,GREENFIELD UNION ELEMENTARY,     
9913,70326,GRENADA ELEMENTARY,     
540,75507,GRIDLEY UNIFIED,     
1652,10157,GRIMMWAY ACADEMY,93203
7741,68130,GROSSMONT UNION HIGH,     
7252,67843,GROVE,92373
9121,69203,GUADALUPE UNION ELEMENTARY,     
8239,68452,GUAJOME LEARNING CENTER,92083
8244,68452,GUAJOME PARK ACADEMY CHARTER,92083
10129,70722,GUERNEVILLE ELEMENTARY,     
3915,64857,GUIDANCE CHARTER,93550
4841,73619,GUSTINE UNIFIED,     
4276,73445,HACIENDA LA PUENTE UNIFIED,     
1413,76562,HAMILTON UNIFIED,     
1982,63917,HANFORD ELEMENTARY,     
1995,63925,HANFORD JOINT UNION HIGH,     
9915,70334,HAPPY CAMP UNION ELEMENTARY,     
9675,69757,HAPPY VALLEY ELEMENTARY,     
9819,70011,HAPPY VALLEY UNION ELEMENTARY,     
7766,68163,HARBOR SPRINGS CHARTER,92036
7324,67876,HARDY BROWN COLLEGE PREP,92410
10131,70730,HARMONY UNION ELEMENTARY,     
8055,68338,HARRIET TUBMAN VILLAGE CHARTER,92115
10371,71092,HART-RANSOM UNION ELEMENTARY,     
8196,68411,HAWKING S.T.E.A.M. CHARTER,91911
8197,68411,HAWKING S.T.E.A.M. CHARTER SCHOOL 2,92154
2559,64592,HAWTHORNE,     
127,61192,HAYWARD UNIFIED,     
10307,75390,HEALDSBURG UNIFIED,     
7934,68338,HEALTH SCIENCES HIGH,92105
7957,68338,HEALTH SCIENCES MIDDLE,92102
1588,63131,HEBER ELEMENTARY,     
7167,67736,HELENDALE ELEMENTARY,     
7754,68130,HELIX HIGH,91941
6135,67082,HEMET UNIFIED,     
7694,68098,HERITAGE DIGITAL ACADEMY CHARTER MIDDLE,92027
7689,68098,HERITAGE K-8 CHARTER,92027
6857,76505,HERITAGE PEAK CHARTER,95673
2572,64600,HERMOSA BEACH CITY ELEMENTARY,     
7476,75044,HESPERIA UNIFIED,     
10375,71100,HICKMAN COMMUNITY CHARTER,     
7961,68338,HIGH TECH ELEMENTARY,92106
8351,76471,HIGH TECH ELEMENTARY CHULA VISTA,91915
8126,68338,HIGH TECH ELEMENTARY EXPLORER,92106
8352,76471,HIGH TECH ELEMENTARY NORTH COUNTY,92078
7978,68338,HIGH TECH HIGH,92106
8347,76471,HIGH TECH HIGH CHULA VISTA,91915
7907,68338,HIGH TECH HIGH INTERNATIONAL,92106
7924,68338,HIGH TECH HIGH MEDIA ARTS,92106
8348,76471,HIGH TECH HIGH NORTH COUNTY,92078
2784,64733,HIGH TECH LA,91406
7905,68338,HIGH TECH MIDDLE,92106
8350,76471,HIGH TECH MIDDLE CHULA VISTA,91915
7918,68338,HIGH TECH MIDDLE MEDIA ARTS,92106
8349,76471,HIGH TECH MIDDLE NORTH COUNTY,92078
6860,76505,HIGHER LEARNING ACADEMY,95815
8884,68908,HILLSBOROUGH CITY ELEMENTARY,     
4758,65698,HILMAR UNIFIED,     
6915,67470,HOLLISTER,     
6918,67470,HOLLISTER PREP,95023
8125,68338,HOLLY DRIVE LEADERSHIP ACADEMY,92102
1590,63149,HOLTVILLE UNIFIED,     
526,61531,HOMETECH CHARTER,95969
9124,69211,HOPE ELEMENTARY,     
10134,70763,HORICON ELEMENTARY,     
5936,66951,HORIZON CHARTER,95648
9917,70359,HORNBROOK ELEMENTARY,     
10739,71951,HOT SPRINGS ELEMENTARY,     
7610,68023,HOWARD GARDNER COMMUNITY CHARTER,91910
5070,66258,HOWELL MOUNTAIN ELEMENTARY,     
10990,72462,HUENEME ELEMENTARY,     
2575,64626,HUGHES-ELIZABETH LAKES UNION ELEMENTARY,     
10490,75549,HUGHSON UNIFIED,     
1418,10124,HUMBOLDT COUNTY OFFICE OF EDUCATION,     
1013,10108,HUME LAKE CHARTER,93628
8627,68627,"HUMPHREYS COLLEGE ACADEMY OF BUSINESS, L",95207
5436,66530,HUNTINGTON BEACH CITY ELEMENTARY,     
5448,66548,HUNTINGTON BEACH UNION HIGH,     
1463,62885,HYDESVILLE ELEMENTARY,     
2581,64634,ICEF INGLEWOOD ELEMENTARY CHARTER ACADEM,90301
2582,64634,ICEF INGLEWOOD MIDDLE CHARTER ACADEMY,90301
2913,64733,ICEF INNOVATION LOS ANGELES CHARTER,90037
2912,64733,ICEF LOU DANTZLER PREPARATORY ACADEMY,90044
2911,64733,ICEF VISTA ELEMENTARY ACADEMY,90066
2887,64733,ICEF VISTA MIDDLE ACADEMY,90066
7923,68338,IFTIN CHARTER,92115
9823,70029,"IGO, ONO, PLATINA UNION ELEMENTARY",     
4372,75309,ILEAD HYBRID,93510
2624,64667,ILEAD LANCASTER CHARTER,93535
1575,63123,IMAGINE SCHOOLS AT IMPERIAL VALLEY,92243
5986,10330,"IMAGINE SCHOOLS, RIVERSIDE COUNTY",92236
130,61192,IMPACT ACADEMY OF ARTS & TECHNOLOGY,94545
1538,10132,IMPERIAL COUNTY OFFICE OF EDUCATION,     
1597,63164,IMPERIAL UNIFIED,     
959,61895,INDIAN DIGGINGS ELEMENTARY,     
9826,70037,INDIAN SPRINGS ELEMENTARY,     
2939,64733,INGENIUM CHARTER,91304
3072,64733,INGENIUM CHARTER MIDDLE,91306
7962,68338,INGENUITY CHARTER,92114
2577,64634,INGLEWOOD UNIFIED,     
7436,67959,INLAND LEADERS CHARTER,92399
7940,68338,INNOVATIONS ACADEMY,92131
1846,63628,INSIGHT SCHOOL OF CALIFORNIA,93065
8190,68403,INSIGHT AT SAN DIEGO,93065
8636,68627,INSIGHT AT SAN JOAQUIN,93065
4366,75309,INSPIRE CHARTER SCHOOL,93510
1848,63628,INSPIRE CHARTER SCHOOL - KERN,93252
10578,71456,INSPIRE CHARTER SCHOOL - NORTH,95957
7664,68049,INSPIRE CHARTER SCHOOL - SOUTH,92019
1302,62547,INSPIRE CHARTER SCHOOLS - CENTRAL,93720
7835,68221,INTEGRITY CHARTER,91950
2702,64725,INTELLECTUAL VIRTUES ACADEMY OF LONG BEA,90807
4981,66092,INTERNATIONAL SCHOOL OF MONTEREY,93955
1621,10140,INYO COUNTY OFFICE OF EDUCATION,     
486,61440,IPAKANNI EARLY COLLEGE CHARTER,95966
4314,73452,IQ ACADEMY CALIFORNIA-LOS ANGELES,93065
5762,73650,IRVINE UNIFIED,     
2001,63933,ISLAND UNION ELEMENTARY,     
2807,64733,IVY ACADEMIA,91304
3082,64733,"IVY BOUND ACADEMY MATH, SCIENCE, AND TEC",91324
2883,64733,"IVY BOUND ACADEMY OF MATH, SCIENCE, AND",91403
11184,73940,IVYTECH CHARTER,93021
1465,62893,JACOBY CREEK ELEMENTARY,     
2847,64733,JAMES JORDAN MIDDLE,91306
10938,72363,JAMESTOWN ELEMENTARY,     
7759,68155,JAMUL-DULZURA UNION ELEMENTARY,     
2091,64105,JANESVILLE UNION ELEMENTARY,     
6928,67488,JEFFERSON ELEMENTARY,     
8907,68924,JEFFERSON UNION HIGH,     
5860,66845,JOHN ADAMS ACADEMY,95678
798,61796,JOHN HENRY HIGH,94804
5121,10298,JOHN MUIR CHARTER SCHOOLS,95949
667,61697,JOHN SWETT UNIFIED,     
2093,64113,JOHNSTONVILLE ELEMENTARY,     
5304,66464,JOURNEY,92656
7563,67983,JUAN BAUTISTA DE ANZA,92274
7767,68163,JULIAN CHARTER,92036
7764,68163,JULIAN UNION ELEMENTARY,     
7770,68171,JULIAN UNION HIGH,     
10673,71738,JUNCTION CITY ELEMENTARY,     
9828,70045,JUNCTION ELEMENTARY,     
6164,67090,JURUPA UNIFIED,     
10033,70573,KAIROS PUBLIC SCHOOL VACAVILLE ACADEMY,95688
10197,70888,KASHIA ELEMENTARY,     
7953,68338,KAVOD ELEMENTARY CHARTER,92123
8041,68338,KEILLER LEADERSHIP ACADEMY,92114
2040,64014,KELSEYVILLE UNIFIED,     
4546,65334,KENTFIELD ELEMENTARY,     
10136,70789,KENWOOD,     
1108,62166,KEPLER NEIGHBORHOOD,93721
2605,64642,KEPPEL UNION ELEMENTARY,     
1334,73999,KERMAN UNIFIED,     
1650,10157,KERN COUNTY OFFICE OF EDUCATION,     
1794,63529,KERN HIGH,     
1819,63545,KERNVILLE UNION ELEMENTARY,     
10379,71134,KEYES UNION,     
10228,70912,KID STREET LEARNING CENTER CHARTER,95401
5437,66530,KINETIC ACADEMY,92648
4942,66050,KING CITY UNION,     
8129,68338,KING-CHAVEZ ACADEMY OF EXCELLENCE,92113
7925,68338,KING-CHAVEZ ARTS ACADEMY,92102
7926,68338,KING-CHAVEZ ATHLETICS ACADEMY,92102
7942,68338,KING-CHAVEZ COMMUNITY HIGH,92101
7930,68338,KING-CHAVEZ PREPARATORY ACADEMY,92102
1212,62265,KINGS CANYON JOINT UNIFIED,     
1960,10165,KINGS COUNTY OFFICE OF EDUCATION,     
10741,71969,KINGS RIVER UNION ELEMENTARY,     
2003,63941,KINGS RIVER-HARDWICK UNION ELEMENTARY,     
2006,63958,KINGS VALLEY ACADEMY,93230
1202,62240,KINGSBURG ELEMENTARY CHARTER,     
1208,62257,KINGSBURG JOINT UNION HIGH,     
3083,64733,KIPP ACADEMY OF INNOVATION,90022
2792,64733,KIPP ACADEMY OF OPPORTUNITY,90047
7906,68338,KIPP ADELANTE PREPARATORY ACADEMY,92101
8372,68478,KIPP BAYVIEW ACADEMY,94124
244,61259,KIPP BRIDGE ACADEMY,94607
2943,64733,KIPP COMIENZA COMMUNITY PREP,90255
2942,64733,KIPP EMPOWER ACADEMY,90003
8962,69005,KIPP EXCELENCIA COMMUNITY PREPARATORY,94063
9231,69369,KIPP HEARTWOOD ACADEMY,95122
9383,69450,KIPP HERITAGE ACADEMY,95121
3060,64733,KIPP ILUMINAR ACADEMY,90022
366,61309,KIPP KING COLLEGIATE HIGH,94580
2789,64733,KIPP LOS ANGELES COLLEGE PREPARATORY,90023
3021,64733,KIPP PHILOSOPHERS ACADEMY,90022
9238,69369,KIPP PRIZE PREPARATORY ACADEMY,95122
2909,64733,KIPP RAICES ACADEMY,90022
8373,68478,KIPP SAN FRANCISCO BAY ACADEMY,94115
8386,68478,KIPP SAN FRANCISCO COLLEGE PREPARATORY,94124
9333,69427,KIPP SAN JOSE COLLEGIATE,95133
3022,64733,KIPP SCHOLAR ACADEMY,90062
3023,64733,KIPP SOL ACADEMY,90022
364,61309,KIPP SUMMIT ACADEMY,94580
3087,64733,KIPP VIDA PREPARATORY ACADEMY,90062
10640,71555,KIRKWOOD ELEMENTARY,     
2005,63958,KIT CARSON UNION ELEMENTARY,     
9921,70375,KLAMATH RIVER UNION ELEMENTARY,     
1467,62901,KLAMATH-TRINITY JOINT UNIFIED,     
1475,62919,KNEELAND ELEMENTARY,     
10383,71142,KNIGHTS FERRY ELEMENTARY,     
673,61705,KNIGHTSEN ELEMENTARY,     
132,61192,KNOWLEDGE ENLIGHTENS YOU (KEY) ACADEMY,94541
2048,64022,KONOCTI UNIFIED,     
2613,64659,LA CANADA UNIFIED,     
5464,66563,LA HABRA CITY ELEMENTARY,     
8924,68940,LA HONDA-PESCADERO UNIFIED,     
7784,68197,LA MESA-SPRING VALLEY,     
4711,65623,LA VIDA CHARTER,95490
2142,10199,LA'S PROMISE CHARTER MIDDLE #1,90062
676,61713,LAFAYETTE ELEMENTARY,     
5458,66555,LAGUNA BEACH UNIFIED,     
4550,65342,LAGUNA JOINT ELEMENTARY,     
4953,66076,LAGUNITA ELEMENTARY,     
4552,65359,LAGUNITAS ELEMENTARY,     
2070,64055,LAKE COUNTY INTERNATIONAL CHARTER,95461
2037,10173,LAKE COUNTY OFFICE OF EDUCATION,     
1390,62596,LAKE ELEMENTARY,     
6403,75176,LAKE ELSINORE UNIFIED,     
