,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment
0,ABC UNIFIED,1791.0,9425.0,1302.0,7459.0,63.0,158.0,524.0,20722.0
1,ACALANES UNION HIGH,95.0,508.0,3622.0,850.0,9.0,16.0,402.0,5502.0
2,ACKERMAN CHARTER,4.0,74.0,460.0,9.0,2.0,0.0,37.0,586.0
3,ACTON-AGUA DULCE UNIFIED,705.0,3466.0,4199.0,536.0,36.0,18.0,1040.0,10000.0
4,ADELANTO ELEMENTARY,2156.0,6327.0,1010.0,139.0,35.0,88.0,517.0,10272.0
5,ALAMEDA CNTY. STUDENT EXCHANGE PROG.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ALAMEDA COUNTY OFFICE OF EDUCATION,543.0,1581.0,209.0,263.0,16.0,33.0,225.0,2870.0
7,ALAMEDA UNIFIED,924.0,1897.0,3292.0,3722.0,33.0,85.0,1206.0,11159.0
8,ALBANY CITY UNIFIED,117.0,603.0,1368.0,1080.0,5.0,7.0,522.0,3702.0
9,ALEXANDER VALLEY UNION ELEMENTARY,1.0,48.0,80.0,0.0,0.0,0.0,1.0,130.0
10,ALHAMBRA UNIFIED,112.0,7071.0,349.0,9084.0,33.0,16.0,406.0,17071.0
11,ALISAL UNION,34.0,8414.0,117.0,131.0,4.0,18.0,517.0,9235.0
12,ALLENSWORTH ELEMENTARY,1.0,77.0,0.0,0.0,0.0,0.0,0.0,78.0
13,ALPAUGH UNIFIED,16.0,501.0,213.0,15.0,4.0,0.0,44.0,793.0
14,ALPINE COUNTY OFFICE OF EDUCATION,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
15,ALPINE COUNTY UNIFIED,0.0,4.0,42.0,0.0,32.0,0.0,2.0,80.0
16,ALPINE UNION ELEMENTARY,37.0,400.0,1111.0,35.0,81.0,7.0,74.0,1745.0
17,ALTA LOMA ELEMENTARY,381.0,2676.0,2281.0,501.0,31.0,28.0,90.0,5988.0
18,ALTA VISTA ELEMENTARY,0.0,449.0,76.0,5.0,4.0,19.0,2.0,555.0
19,ALTA-DUTCH FLAT UNION ELEMENTARY,0.0,6.0,91.0,1.0,1.0,0.0,5.0,104.0
20,ALUM ROCK UNION ELEMENTARY,156.0,9154.0,194.0,1868.0,21.0,97.0,134.0,11624.0
21,ALVIEW-DAIRYLAND UNION ELEMENTARY,0.0,213.0,156.0,10.0,1.0,0.0,1.0,381.0
22,ALVINA ELEMENTARY,0.0,154.0,24.0,1.0,2.0,1.0,0.0,182.0
23,ALVORD UNIFIED,720.0,15161.0,2034.0,949.0,40.0,85.0,245.0,19234.0
24,AMADOR COUNTY OFFICE OF EDUCATION,0.0,51.0,143.0,0.0,9.0,0.0,19.0,222.0
25,AMADOR COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AMADOR COUNTY UNIFIED,23.0,780.0,2652.0,54.0,101.0,9.0,245.0,3864.0
27,ANAHEIM ELEMENTARY,265.0,15961.0,873.0,1046.0,18.0,67.0,328.0,18558.0
28,ANAHEIM UNION HIGH,716.0,20555.0,3135.0,5287.0,145.0,167.0,726.0,30731.0
29,ANDERSON UNION HIGH,30.0,293.0,1274.0,49.0,104.0,10.0,52.0,1812.0
30,ANDERSON VALLEY UNIFIED,5.0,384.0,110.0,1.0,4.0,0.0,3.0,507.0
31,ANTELOPE ELEMENTARY,9.0,187.0,568.0,11.0,16.0,1.0,24.0,816.0
32,ANTELOPE VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ANTELOPE VALLEY UNION HIGH,4207.0,14647.0,3260.0,628.0,77.0,46.0,1030.0,23895.0
35,ANTIOCH UNIFIED,4333.0,7533.0,2623.0,1630.0,104.0,214.0,889.0,17326.0
36,APPLE VALLEY UNIFIED,1287.0,6520.0,5718.0,424.0,58.0,72.0,291.0,14370.0
37,ARCADIA UNIFIED,170.0,1380.0,1290.0,6483.0,12.0,8.0,182.0,9525.0
38,ARCATA ELEMENTARY,13.0,159.0,715.0,19.0,34.0,3.0,121.0,1064.0
39,ARCOHE UNION ELEMENTARY,12.0,204.0,198.0,7.0,5.0,2.0,23.0,451.0
40,ARENA UNION ELEMENTARY,0.0,154.0,113.0,0.0,28.0,0.0,18.0,313.0
41,ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,ARMONA UNION ELEMENTARY,54.0,1051.0,348.0,22.0,27.0,2.0,38.0,1542.0
43,AROMAS - SAN JUAN UNIFIED,3.0,760.0,320.0,15.0,1.0,0.0,19.0,1118.0
44,ARVIN UNION,16.0,2902.0,95.0,7.0,5.0,0.0,3.0,3028.0
45,ATASCADERO UNIFIED,64.0,1288.0,2983.0,108.0,47.0,5.0,132.0,4627.0
46,ATWATER ELEMENTARY,113.0,3511.0,969.0,218.0,35.0,13.0,105.0,4964.0
47,AUBURN UNION ELEMENTARY,28.0,626.0,1209.0,49.0,21.0,2.0,100.0,2035.0
48,AZUSA UNIFIED,116.0,8073.0,296.0,184.0,19.0,1.0,56.0,8745.0
49,BAKER VALLEY UNIFIED,0.0,110.0,14.0,0.0,0.0,0.0,0.0,124.0
50,BAKERSFIELD CITY,2422.0,23959.0,2899.0,368.0,150.0,37.0,537.0,30372.0
51,BALDWIN PARK UNIFIED,564.0,14575.0,577.0,1049.0,230.0,41.0,697.0,17733.0
52,BALDY VIEW ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,BALDY VIEW ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,BALLARD ELEMENTARY,1.0,18.0,105.0,3.0,0.0,0.0,2.0,129.0
55,BALLICO-CRESSEY ELEMENTARY,5.0,211.0,104.0,11.0,3.0,0.0,39.0,373.0
56,BANGOR UNION ELEMENTARY,0.0,13.0,67.0,0.0,4.0,0.0,3.0,87.0
57,BANNING UNIFIED,365.0,3072.0,580.0,249.0,128.0,7.0,140.0,4541.0
58,BANTA ELEMENTARY,23.0,357.0,169.0,177.0,0.0,4.0,40.0,770.0
59,BARSTOW UNIFIED,1106.0,3212.0,1287.0,89.0,68.0,71.0,321.0,6154.0
60,BASS LAKE JOINT UNION ELEMENTARY,5.0,162.0,657.0,19.0,17.0,1.0,30.0,891.0
61,BASSETT UNIFIED,28.0,3444.0,42.0,166.0,6.0,3.0,0.0,3689.0
62,BAYSHORE ELEMENTARY,15.0,158.0,10.0,152.0,0.0,19.0,14.0,368.0
63,BEAR VALLEY UNIFIED,20.0,876.0,1510.0,26.0,10.0,3.0,78.0,2523.0
64,BEARDSLEY ELEMENTARY,58.0,690.0,923.0,6.0,7.0,0.0,126.0,1810.0
65,BEAUMONT UNIFIED,627.0,5174.0,3226.0,542.0,91.0,30.0,285.0,9975.0
66,BELLA VISTA ELEMENTARY,7.0,39.0,275.0,11.0,17.0,1.0,11.0,361.0
67,BELLEVIEW ELEMENTARY,5.0,32.0,100.0,1.0,2.0,3.0,4.0,147.0
68,BELLEVUE UNION,29.0,1585.0,179.0,61.0,17.0,1.0,23.0,1895.0
69,BELLFLOWER UNIFIED,1604.0,7928.0,1274.0,1035.0,59.0,96.0,301.0,12297.0
70,BELMONT-REDWOOD SHORES ELEMENTARY,71.0,500.0,1797.0,1286.0,6.0,34.0,536.0,4230.0
71,BELRIDGE ELEMENTARY,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0
72,BENICIA UNIFIED,383.0,907.0,2239.0,599.0,21.0,15.0,689.0,4853.0
73,BENNETT VALLEY UNION ELEMENTARY,23.0,220.0,666.0,48.0,4.0,9.0,65.0,1035.0
74,BERKELEY UNIFIED,1667.0,2473.0,3868.0,814.0,16.0,22.0,1378.0,10238.0
75,BERRYESSA UNION ELEMENTARY,129.0,1719.0,381.0,4640.0,3.0,46.0,378.0,7296.0
76,BEVERLY HILLS UNIFIED,111.0,319.0,2923.0,499.0,8.0,10.0,153.0,4023.0
77,BIG CREEK ELEMENTARY,0.0,15.0,39.0,0.0,0.0,0.0,1.0,55.0
78,BIG LAGOON UNION ELEMENTARY,0.0,4.0,8.0,0.0,4.0,0.0,2.0,18.0
79,BIG OAK FLAT-GROVELAND UNIFIED,5.0,48.0,236.0,3.0,4.0,0.0,6.0,302.0
80,BIG PINE UNIFIED,0.0,36.0,40.0,1.0,76.0,1.0,17.0,171.0
81,BIG SPRINGS UNION ELEMENTARY,1.0,34.0,121.0,5.0,3.0,0.0,15.0,179.0
82,BIG SUR UNIFIED,0.0,26.0,67.0,2.0,0.0,1.0,13.0,109.0
83,BIG VALLEY JOINT UNIFIED,0.0,21.0,118.0,0.0,8.0,0.0,0.0,147.0
84,BIGGS UNIFIED,13.0,231.0,348.0,13.0,5.0,2.0,5.0,617.0
85,BISHOP UNIFIED,9.0,714.0,734.0,23.0,279.0,0.0,131.0,1890.0
86,BITTERWATER-TULLY ELEMENTARY,0.0,11.0,21.0,0.0,0.0,0.0,0.0,32.0
87,BLACK BUTTE UNION ELEMENTARY,2.0,22.0,162.0,2.0,12.0,2.0,11.0,213.0
88,BLACK OAK MINE UNIFIED,6.0,118.0,1067.0,11.0,29.0,0.0,22.0,1253.0
89,BLAKE ELEMENTARY,0.0,4.0,7.0,0.0,0.0,0.0,0.0,11.0
90,BLOCHMAN UNION ELEMENTARY,15.0,326.0,814.0,18.0,8.0,5.0,91.0,1277.0
91,BLP SCHS SELF-INC. WORKERS COMPENSATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,BLUE LAKE UNION ELEMENTARY,1.0,20.0,95.0,0.0,13.0,0.0,40.0,169.0
93,BOGUS ELEMENTARY,0.0,0.0,14.0,0.0,0.0,0.0,6.0,20.0
94,BOLINAS-STINSON UNION,1.0,20.0,52.0,2.0,0.0,0.0,10.0,85.0
95,BONITA UNIFIED,313.0,5202.0,2976.0,830.0,23.0,17.0,866.0,10227.0
96,BONNY DOON UNION ELEMENTARY,0.0,5.0,152.0,3.0,2.0,0.0,1.0,163.0
97,BONSALL UNIFIED,56.0,932.0,1360.0,135.0,153.0,11.0,212.0,2859.0
98,BORREGO SPRINGS UNIFIED,34.0,704.0,113.0,6.0,4.0,5.0,20.0,886.0
99,BRADLEY UNION ELEMENTARY,3.0,53.0,131.0,6.0,5.0,0.0,16.0,214.0
100,BRAWLEY ELEMENTARY,34.0,3794.0,143.0,16.0,1.0,1.0,3.0,3992.0
101,BRAWLEY UNION HIGH,21.0,1650.0,152.0,15.0,1.0,2.0,5.0,1846.0
102,BREA-OLINDA UNIFIED,96.0,2150.0,1972.0,1477.0,10.0,26.0,178.0,5909.0
103,BRENTWOOD UNION ELEMENTARY,639.0,2719.0,3812.0,983.0,29.0,59.0,676.0,8917.0
104,BRET HARTE UNION HIGH,0.0,138.0,497.0,13.0,10.0,0.0,38.0,696.0
105,BRIDGEVILLE ELEMENTARY,0.0,2.0,20.0,0.0,0.0,0.0,3.0,25.0
106,BRIGGS ELEMENTARY,0.0,513.0,26.0,0.0,0.0,0.0,3.0,542.0
107,BRISBANE ELEMENTARY,8.0,148.0,134.0,133.0,0.0,4.0,37.0,464.0
108,BRITTAN ELEMENTARY,0.0,102.0,309.0,0.0,5.0,0.0,50.0,466.0
109,BROWNS ELEMENTARY,1.0,63.0,73.0,5.0,0.0,1.0,9.0,152.0
110,BUCKEYE UNION ELEMENTARY,47.0,742.0,3599.0,453.0,14.0,16.0,345.0,5216.0
111,BUELLTON UNION ELEMENTARY,4.0,268.0,294.0,8.0,4.0,0.0,36.0,614.0
112,BUENA PARK ELEMENTARY,218.0,3197.0,341.0,928.0,17.0,25.0,111.0,4837.0
113,BUENA VISTA ELEMENTARY,4.0,139.0,63.0,0.0,0.0,0.0,3.0,209.0
114,BURBANK UNIFIED,418.0,5891.0,7373.0,1458.0,57.0,16.0,886.0,16099.0
115,BURLINGAME ELEMENTARY,22.0,506.0,1775.0,791.0,6.0,14.0,296.0,3410.0
116,BURNT RANCH ELEMENTARY,4.0,20.0,33.0,2.0,32.0,0.0,5.0,96.0
117,BURREL UNION ELEMENTARY,0.0,100.0,9.0,3.0,0.0,0.0,0.0,112.0
118,BURTON ELEMENTARY,33.0,3305.0,1007.0,241.0,61.0,8.0,26.0,4681.0
119,BUTTE COUNTY OFFICE OF EDUCATION,19.0,216.0,828.0,18.0,31.0,3.0,97.0,1212.0
120,BUTTE COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,BUTTE VALLEY UNIFIED,0.0,146.0,139.0,4.0,13.0,0.0,6.0,308.0
122,BUTTEVILLE UNION ELEMENTARY,0.0,30.0,1.0,0.0,0.0,0.0,180.0,211.0
123,BUTTONWILLOW UNION ELEMENTARY,3.0,339.0,27.0,3.0,1.0,0.0,1.0,374.0
124,BYRON UNION ELEMENTARY,92.0,527.0,1336.0,111.0,50.0,29.0,89.0,2234.0
125,CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO ROC/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,CA SCH FOR THE DEAF-RIVERSIDE (STATE SPECIAL SCHL),21.0,220.0,88.0,10.0,0.0,2.0,11.0,352.0
128,CABRILLO UNIFIED,13.0,1685.0,1358.0,91.0,4.0,5.0,123.0,3279.0
129,CAJON VALLEY UNION,1025.0,6065.0,8086.0,497.0,34.0,90.0,1127.0,16924.0
130,CALAVERAS COUNTY OFFICE OF EDUCATION,10.0,102.0,354.0,2.0,6.0,3.0,48.0,525.0
131,CALAVERAS UNIFIED,20.0,554.0,2123.0,37.0,49.0,6.0,143.0,2932.0
132,CALEXICO UNIFIED,4.0,9185.0,30.0,27.0,1.0,0.0,5.0,9252.0
133,CALIENTE UNION ELEMENTARY,0.0,5.0,43.0,0.0,0.0,0.0,3.0,51.0
134,CALIFORNIA EDUCATION AUTHORITY (CEA) HEADQUARTERS,125.0,218.0,31.0,10.0,1.0,3.0,0.0,388.0
135,CALIFORNIA SCHOOL FOR THE BLIND (STATE SPECIAL SCHL),1.0,21.0,10.0,3.0,0.0,2.0,2.0,39.0
136,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL),33.0,190.0,85.0,48.0,1.0,2.0,21.0,380.0
137,CALIPATRIA UNIFIED,28.0,1014.0,95.0,4.0,0.0,0.0,9.0,1150.0
138,CALISTOGA JOINT UNIFIED,0.0,712.0,115.0,14.0,1.0,0.0,17.0,859.0
139,CAMBRIAN,91.0,812.0,1549.0,673.0,23.0,14.0,352.0,3514.0
140,CAMINO UNION ELEMENTARY,0.0,154.0,292.0,0.0,12.0,1.0,44.0,503.0
141,CAMPBELL UNION,262.0,3515.0,1809.0,1170.0,15.0,46.0,648.0,7465.0
142,CAMPBELL UNION HIGH,202.0,2684.0,3148.0,1316.0,31.0,52.0,377.0,7810.0
143,CAMPTONVILLE ELEMENTARY,4.0,91.0,335.0,4.0,10.0,3.0,72.0,519.0
144,CANYON ELEMENTARY,2.0,7.0,47.0,4.0,0.0,0.0,12.0,72.0
145,CAPAY JOINT UNION ELEMENTARY,0.0,82.0,104.0,1.0,0.0,0.0,5.0,192.0
146,CAPISTRANO UNIFIED,736.0,14113.0,30333.0,4019.0,112.0,73.0,4227.0,53613.0
147,CARDIFF ELEMENTARY,1.0,132.0,513.0,9.0,0.0,0.0,49.0,704.0
148,CARLSBAD UNIFIED,139.0,3079.0,6269.0,783.0,38.0,25.0,834.0,11167.0
149,CARMEL UNIFIED,9.0,463.0,1553.0,109.0,6.0,4.0,365.0,2509.0
150,CARPINTERIA UNIFIED,9.0,1659.0,516.0,43.0,10.0,1.0,31.0,2269.0
151,CARUTHERS UNIFIED,4.0,1202.0,138.0,76.0,6.0,2.0,14.0,1442.0
152,CASCADE UNION ELEMENTARY,20.0,244.0,635.0,72.0,70.0,6.0,33.0,1080.0
153,CASTAIC UNION,52.0,942.0,988.0,167.0,2.0,4.0,79.0,2234.0
154,CASTLE ROCK UNION ELEMENTARY,2.0,9.0,30.0,0.0,3.0,0.0,6.0,50.0
155,CASTRO VALLEY UNIFIED,532.0,2239.0,2689.0,2783.0,23.0,39.0,1027.0,9332.0
156,CAYUCOS ELEMENTARY,0.0,47.0,138.0,5.0,0.0,0.0,21.0,211.0
157,CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,CENTER JOINT UNIFIED,489.0,1144.0,2063.0,421.0,39.0,42.0,278.0,4476.0
159,CENTINELA VALLEY UNION HIGH,1236.0,5495.0,230.0,248.0,14.0,67.0,233.0,7523.0
160,CENTRAL CALIF MIGRANT HEAD START JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,CENTRAL ELEMENTARY,467.0,2348.0,1260.0,324.0,4.0,26.0,110.0,4539.0
163,CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,CENTRAL SIERRA ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,CENTRAL SIERRA ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,CENTRAL UNIFIED,1439.0,9166.0,2527.0,2255.0,96.0,44.0,245.0,15772.0
167,CENTRAL UNION ELEMENTARY,128.0,663.0,598.0,81.0,131.0,14.0,162.0,1777.0
168,CENTRAL UNION HIGH,37.0,3871.0,159.0,41.0,5.0,1.0,5.0,4119.0
169,CENTRAL VALLEY PRE-SCHOOL JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,CENTRAL VALLEY SUPPORT SERVICES JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,CENTRALIA ELEMENTARY,123.0,2361.0,662.0,1082.0,15.0,25.0,149.0,4417.0
172,CERES UNIFIED,243.0,10968.0,2147.0,796.0,74.0,114.0,140.0,14482.0
173,CHAFFEY JOINT UNION HIGH,1919.0,15213.0,4043.0,1940.0,93.0,108.0,578.0,23894.0
174,CHARTER OAK UNIFIED,147.0,3249.0,957.0,357.0,24.0,16.0,146.0,4896.0
175,CHATOM UNION,0.0,403.0,184.0,0.0,0.0,0.0,14.0,601.0
176,CHAWANAKEE UNIFIED,18.0,207.0,668.0,13.0,109.0,1.0,38.0,1054.0
177,CHICAGO PARK ELEMENTARY,0.0,23.0,140.0,4.0,3.0,0.0,12.0,182.0
178,CHICO UNIFIED,359.0,3274.0,8429.0,831.0,221.0,71.0,766.0,13951.0
179,CHINO VALLEY UNIFIED,952.0,16518.0,5197.0,5478.0,24.0,63.0,654.0,28886.0
180,CHOWCHILLA ELEMENTARY,41.0,1428.0,644.0,45.0,8.0,4.0,33.0,2203.0
181,CHOWCHILLA UNION HIGH,21.0,642.0,370.0,22.0,9.0,1.0,8.0,1073.0
182,CHUALAR UNION,0.0,336.0,2.0,0.0,0.0,0.0,0.0,338.0
183,CHULA VISTA ELEMENTARY,1073.0,21148.0,3268.0,3384.0,47.0,120.0,1013.0,30053.0
184,CIENEGA UNION ELEMENTARY,0.0,11.0,12.0,0.0,0.0,0.0,0.0,23.0
185,CINNABAR ELEMENTARY,2.0,175.0,85.0,2.0,0.0,2.0,4.0,270.0
186,CLAREMONT UNIFIED,342.0,2931.0,2418.0,778.0,14.0,20.0,563.0,7066.0
187,CLAY JOINT ELEMENTARY,0.0,67.0,154.0,9.0,0.0,0.0,14.0,244.0
188,CLEAR CREEK ELEMENTARY,0.0,14.0,124.0,0.0,1.0,0.0,6.0,145.0
189,CLOVERDALE UNIFIED,7.0,772.0,542.0,14.0,41.0,4.0,38.0,1418.0
190,CLOVIS UNIFIED,1338.0,15681.0,17321.0,6697.0,284.0,103.0,1322.0,42746.0
191,COACHELLA VALLEY UNIFIED,35.0,18290.0,156.0,21.0,92.0,0.0,125.0,18719.0
192,COALINGA-HURON UNIFIED,46.0,3746.0,455.0,92.0,14.0,1.0,96.0,4450.0
193,COAST UNIFIED,6.0,405.0,207.0,7.0,3.0,3.0,18.0,649.0
194,COASTLINE ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,COASTLINE ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,COFFEE CREEK ELEMENTARY,0.0,0.0,4.0,0.0,0.0,0.0,3.0,7.0
197,COLD SPRING ELEMENTARY,2.0,14.0,140.0,8.0,0.0,0.0,5.0,169.0
198,COLFAX ELEMENTARY,1.0,29.0,251.0,1.0,1.0,0.0,29.0,312.0
199,COLLEGE AND CAREER ADVANTAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,COLLEGE ELEMENTARY,0.0,163.0,190.0,2.0,15.0,1.0,22.0,393.0
201,COLTON JOINT UNIFIED,1261.0,19172.0,1485.0,566.0,53.0,54.0,183.0,22774.0
202,COLTON-REDLANDS-YUCAIPA ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,COLTON-REDLANDS-YUCAIPA ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,COLUMBIA ELEMENTARY,7.0,153.0,989.0,40.0,31.0,0.0,143.0,1363.0
205,COLUMBIA UNION,10.0,51.0,404.0,10.0,9.0,3.0,44.0,531.0
206,COLUMBINE ELEMENTARY,2.0,175.0,12.0,12.0,0.0,0.0,6.0,207.0
207,COLUSA COUNTY OFFICE OF EDUCATION,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0
208,COLUSA UNIFIED,1.0,1014.0,373.0,18.0,57.0,2.0,14.0,1479.0
209,COMMUNITY DAY SCHOOL JOINT POWERS AGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,COMPTON UNIFIED,4357.0,18531.0,113.0,27.0,39.0,126.0,259.0,23452.0
211,COMPTON UNIFIED ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,CONEJO VALLEY UNIFIED,273.0,4999.0,10591.0,2076.0,74.0,45.0,860.0,18918.0
213,CONTRA COSTA COUNTY OFFICE OF EDUCATION,459.0,1987.0,1546.0,400.0,21.0,30.0,349.0,4792.0
214,CONTRA COSTA COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,CONTRA COSTA SELPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,CORCORAN JOINT UNIFIED,113.0,2991.0,205.0,17.0,4.0,0.0,4.0,3334.0
217,CORNING UNION ELEMENTARY,23.0,1384.0,625.0,33.0,37.0,4.0,7.0,2113.0
218,CORNING UNION HIGH,6.0,516.0,348.0,8.0,11.0,0.0,53.0,942.0
219,CORONA-NORCO UNIFIED,3173.0,28004.0,13794.0,6580.0,187.0,208.0,1059.0,53005.0
220,CORONADO UNIFIED,51.0,631.0,2047.0,139.0,13.0,15.0,168.0,3064.0
221,COTATI-ROHNERT PARK UNIFIED,134.0,2550.0,2813.0,263.0,40.0,20.0,452.0,6272.0
222,COTTONWOOD UNION ELEMENTARY,8.0,155.0,805.0,22.0,41.0,4.0,56.0,1091.0
223,COVINA-VALLEY UNIFIED,324.0,8961.0,1141.0,1014.0,36.0,22.0,412.0,11910.0
224,CUCAMONGA ELEMENTARY,352.0,1750.0,210.0,160.0,11.0,11.0,22.0,2516.0
225,CUDDEBACK UNION ELEMENTARY,0.0,13.0,103.0,0.0,8.0,0.0,9.0,133.0
226,CULVER CITY UNIFIED,976.0,2643.0,1831.0,823.0,19.0,20.0,544.0,6856.0
227,CUPERTINO UNION,115.0,932.0,2852.0,13898.0,22.0,29.0,750.0,18598.0
228,CURTIS CREEK ELEMENTARY,3.0,73.0,349.0,2.0,6.0,0.0,25.0,458.0
229,CUTLER-OROSI JOINT UNIFIED,3.0,3910.0,73.0,131.0,3.0,2.0,4.0,4126.0
230,CUTTEN ELEMENTARY,6.0,105.0,369.0,34.0,47.0,2.0,59.0,622.0
