District Code,Students Tested
10017,177.0
10033,486.0
10041,750.0
10058,1024.0
10066,0.0
10074,530.0
10082,670.0
10090,1682.0
10108,706.0
10116,126.0
10124,194.0
10132,224.0
10140,228.0
10157,5562.0
10165,137.0
10173,36.0
10181,0.0
10199,2734.0
10207,1004.0
10215,21.0
10223,0.0
10231,100.0
10249,916.0
10256,26.0
10264,0.0
10272,924.0
10280,234.0
10298,2312.0
10306,4858.0
10314,656.0
10322,38.0
10330,2350.0
10348,856.0
10355,90.0
10363,2094.0
10371,2128.0
10389,109.0
10397,1278.0
10405,728.0
10413,164.0
10421,322.0
10439,634.0
10447,1966.0
10454,91.0
10470,0.0
10488,142.0
10496,276.0
10504,776.0
10512,209.0
10520,478.0
10546,920.0
10553,34.0
10561,638.0
10579,92.0
10587,495.0
31609,27.0
31617,500.0
31625,508.0
32276,288.0
61119,18730.0
61127,7750.0
61143,18828.0
61150,19614.0
61168,1390.0
61176,73874.0
61192,43980.0
61200,27758.0
61218,25.0
61234,12088.0
61242,24314.0
61259,71420.0
61275,5948.0
61291,17958.0
61309,21646.0
61333,164.0
61382,140.0
61408,1156.0
61424,24478.0
61432,2028.0
61440,0.0
61457,212.0
61499,696.0
61507,6056.0
61515,1920.0
61523,3214.0
61531,6338.0
61549,3592.0
61556,602.0
61564,5946.0
61572,2108.0
61580,1536.0
61598,2976.0
61606,740.0
61614,3236.0
61622,2738.0
61630,5328.0
61648,34812.0
61655,24164.0
61663,4402.0
61671,90.0
61697,3178.0
61705,1468.0
61713,9590.0
61721,7652.0
61739,8704.0
61747,5168.0
61754,66908.0
61762,13114.0
61770,6736.0
61788,23388.0
61796,58418.0
61804,70232.0
61812,9504.0
61820,7460.0
61838,12844.0
61846,1028.0
61853,6086.0
61879,1250.0
61887,1834.0
61895,30.0
61903,8020.0
61911,366.0
61929,2802.0
61945,832.0
61952,3274.0
61960,1798.0
61978,10150.0
61986,0.0
61994,432.0
62026,70.0
62042,248.0
62109,676.0
62117,89006.0
62125,9316.0
62158,5636.0
62166,145620.0
62240,5864.0
62257,1270.0
62265,20996.0
62281,1374.0
62323,440.0
62331,756.0
62356,1004.0
62364,7234.0
62372,166.0
62380,668.0
62414,25232.0
62430,13628.0
62513,1120.0
62539,1516.0
62547,548.0
62554,544.0
62596,438.0
62638,516.0
62646,396.0
62653,92.0
62661,2904.0
62679,1358.0
62687,1470.0
62695,0.0
62703,428.0
62729,24.0
62737,292.0
62745,1340.0
62794,360.0
62810,930.0
62828,842.0
62836,126.0
62851,0.0
62885,504.0
62893,1204.0
62901,2008.0
62919,37.0
62927,193.0
62935,0.0
62950,2912.0
62968,0.0
62976,1372.0
62984,36.0
63008,856.0
63024,566.0
63032,1168.0
63040,1606.0
63057,516.0
63073,9934.0
63081,1752.0
63099,19018.0
63107,2402.0
63115,3646.0
63123,12630.0
63131,3086.0
63149,3272.0
63164,8636.0
63172,352.0
63180,3594.0
63198,1282.0
63206,200.0
63214,1534.0
63222,806.0
63230,982.0
63248,314.0
63271,24.0
63289,634.0
63297,136.0
63305,300.0
63313,7784.0
63321,76144.0
63339,4568.0
63347,46.0
63354,0.0
63362,46238.0
63370,962.0
63388,70.0
63404,19254.0
63412,3968.0
63420,594.0
63438,2756.0
63446,494.0
63461,6950.0
63479,8468.0
63487,368.0
63503,24024.0
63529,35722.0
63545,2284.0
63552,3672.0
63560,7646.0
63578,8746.0
63586,28.0
63594,1416.0
63610,728.0
63628,646.0
63651,110.0
63669,209.0
63677,5648.0
63685,3834.0
63693,11072.0
63719,512.0
63750,15180.0
63768,632.0
63776,7030.0
63784,572.0
63792,7754.0
63800,5600.0
63818,948.0
63826,9054.0
63834,1774.0
63842,9268.0
63859,1596.0
63875,2912.0
63883,4166.0
63891,7018.0
63917,15650.0
63925,3382.0
63933,1102.0
63941,2026.0
63958,1074.0
63966,904.0
63974,8338.0
63982,1826.0
63990,4212.0
64014,3448.0
64022,6648.0
64030,3196.0
64048,632.0
64055,2992.0
64089,209.0
64105,908.0
64113,568.0
64139,686.0
64162,0.0
64170,604.0
64188,468.0
64196,2648.0
64204,255.0
64212,44164.0
64246,21676.0
64261,20540.0
64279,17806.0
64287,28758.0
64295,7816.0
64303,25724.0
64311,8584.0
64329,20956.0
64337,31356.0
64345,6174.0
64352,6286.0
64378,10248.0
64394,14802.0
64436,24410.0
64444,14300.0
64451,46426.0
64469,7060.0
64477,9032.0
64485,23492.0
64501,22526.0
64519,8766.0
64527,18460.0
64535,7140.0
64550,12612.0
64568,54028.0
64576,16304.0
64584,202.0
64592,21136.0
64600,3762.0
64626,448.0
64634,20612.0
64642,7310.0
64659,9028.0
64667,36478.0
64683,23390.0
64691,14702.0
64709,12748.0
64717,11686.0
64725,155148.0
64733,1047838.0
64758,4372.0
64766,8280.0
64774,29380.0
64790,11790.0
64808,56154.0
64816,17956.0
64832,15810.0
64840,38752.0
64857,48970.0
64865,22616.0
64873,32722.0
64881,34880.0
64907,50552.0
64931,6958.0
64964,6550.0
64980,22778.0
64998,22616.0
65029,10354.0
65037,7756.0
65045,12156.0
65052,12572.0
65060,48742.0
65078,2982.0
65094,18206.0
65102,24946.0
65110,15806.0
65128,12072.0
65136,40876.0
65151,3408.0
65177,934.0
65185,2118.0
65193,5888.0
65201,946.0
65243,42628.0
65276,220.0
65300,156.0
65318,5240.0
65334,3294.0
65342,0.0
65359,286.0
65367,4008.0
65375,0.0
65391,8474.0
65409,62.0
65417,15990.0
65425,4260.0
65433,1064.0
65458,11888.0
65466,2274.0
65474,294.0
65482,4138.0
65516,0.0
65532,3368.0
65540,1008.0
65557,714.0
65565,3642.0
65573,54.0
65581,1082.0
65599,122.0
65607,592.0
65615,11676.0
65623,2902.0
65631,12878.0
65649,1014.0
65680,426.0
65698,4956.0
65722,1062.0
65730,468.0
65748,6430.0
65755,22622.0
65763,2176.0
65771,28144.0
65789,9504.0
65813,322.0
65821,1960.0
65839,142.0
65862,7236.0
65870,4954.0
65896,178.0
65961,20238.0
65979,124.0
65987,5372.0
65995,890.0
66027,58.0
66035,9098.0
66050,6796.0
66068,1976.0
66076,194.0
66084,360.0
66092,19936.0
66134,4238.0
66142,20528.0
66159,27496.0
66167,444.0
66175,171.0
66183,78.0
66191,9130.0
66225,2496.0
66233,2368.0
66241,1738.0
66258,128.0
66266,37474.0
66282,84.0
66290,2336.0
66316,480.0
66324,388.0
66332,4366.0
66340,2264.0
66357,2418.0
66373,3070.0
66407,1534.0
66415,150.0
66423,40664.0
66431,59352.0
66449,12298.0
66456,12414.0
66464,102966.0
66472,10160.0
66480,9250.0
66498,17240.0
66506,35770.0
66514,13998.0
66522,94688.0
66530,18836.0
66548,15558.0
66555,6494.0
66563,12496.0
66589,13752.0
66597,45034.0
66613,22664.0
66621,56120.0
66647,52722.0
66670,106466.0
66696,5234.0
66746,24094.0
66761,1452.0
66779,278.0
66787,5230.0
66795,812.0
66803,18098.0
66829,9284.0
66837,970.0
66845,8052.0
66852,2300.0
66886,1888.0
66894,3862.0
66910,27104.0
66928,9934.0
66944,8130.0
66951,14638.0
66969,3702.0
66977,40454.0
66985,9388.0
66993,21254.0
67033,113216.0
67041,0.0
67058,59720.0
67082,45676.0
67090,40728.0
67116,25808.0
67124,71356.0
67157,4856.0
67173,49408.0
67181,6248.0
67199,13662.0
67207,15038.0
67215,87552.0
67231,9992.0
67249,21066.0
67280,1096.0
67314,133370.0
67322,726.0
67330,42764.0
67348,9824.0
67355,2116.0
67413,3872.0
67421,4878.0
67439,90756.0
67447,91828.0
67454,36.0
67462,48.0
67470,14226.0
67488,0.0
67504,2024.0
67520,0.0
67538,2766.0
67553,610.0
67561,362.0
67579,0.0
67587,23536.0
67595,15812.0
67611,12816.0
67637,5312.0
67645,12334.0
67652,22516.0
67678,59006.0
67686,48736.0
67694,6348.0
67702,38146.0
67710,80322.0
67736,2420.0
67777,17534.0
67785,6854.0
67793,178.0
67801,2132.0
67819,56092.0
67827,5336.0
67843,43450.0
67850,55020.0
67868,6934.0
67876,103480.0
67892,570.0
67918,28544.0
67934,16600.0
67959,18794.0
67967,4306.0
67983,850.0
67991,41696.0
68007,1620.0
68023,53154.0
68031,6250.0
68049,420.0
68056,10918.0
68080,11944.0
68098,41518.0
68106,7260.0
68114,11974.0
68122,2022.0
68130,15098.0
68155,1578.0
68163,812.0
68171,168.0
68189,12188.0
68197,31332.0
68205,9524.0
68213,3460.0
68221,12044.0
68296,74614.0
68304,11348.0
68312,1750.0
68338,208844.0
68346,24208.0
68353,1490.0
68361,16990.0
68379,12744.0
68387,7116.0
68395,17396.0
68403,24.0
68411,69632.0
68437,496.0
68452,43720.0
68478,105484.0
68486,1720.0
68502,5320.0
68544,6528.0
68569,20302.0
68577,4822.0
68585,60908.0
68593,49940.0
68619,494.0
68627,2658.0
68635,1124.0
68650,6896.0
68676,79048.0
68700,9648.0
68726,558.0
68759,21688.0
68791,158.0
68809,15838.0
68825,1480.0
68833,638.0
68841,5152.0
68858,968.0
68866,10558.0
68874,1180.0
68882,8612.0
68890,6810.0
68908,4048.0
68916,16284.0
68924,4480.0
68932,8092.0
68940,656.0
68957,3704.0
68965,7742.0
68973,6280.0
68981,1702.0
68999,8008.0
69005,20812.0
69013,6398.0
69021,8212.0
69039,29796.0
69047,8110.0
69062,8132.0
69070,17982.0
69088,1012.0
69104,292.0
69112,488.0
69120,42234.0
69138,1622.0
69146,4644.0
69161,368.0
69179,572.0
69195,7908.0
69203,3446.0
69211,2274.0
69229,19518.0
69245,426.0
69252,988.0
69260,13192.0
69310,7374.0
69328,920.0
69336,1622.0
69344,212.0
69369,27136.0
69377,19406.0
69385,9270.0
69393,18410.0
69401,7308.0
69419,49566.0
69427,22080.0
69435,33354.0
69450,21314.0
69468,10426.0
69484,23822.0
69492,148.0
69500,1526.0
69518,12662.0
69526,9484.0
69534,2966.0
69542,1326.0
69575,12002.0
69583,17902.0
69591,12634.0
69609,3724.0
69617,6214.0
69625,27152.0
69633,2290.0
69641,23090.0
69666,63992.0
69674,30930.0
69682,5738.0
69690,16252.0
69708,15594.0
69732,376.0
69757,284.0
69765,5078.0
69773,240.0
69781,194.0
69799,41812.0
69807,5448.0
69815,4046.0
69823,7269.0
69849,5276.0
69856,1600.0
69872,996.0
69880,498.0
69914,2672.0
69922,64.0
69948,2000.0
69955,2922.0
69971,9498.0
69989,2426.0
69997,35.0
70003,1602.0
70011,1304.0
70029,48.0
70037,0.0
70045,646.0
70052,672.0
70078,684.0
70086,64.0
70094,1604.0
70110,7872.0
70128,284.0
70136,5872.0
70169,30.0
70177,834.0
70185,472.0
70193,0.0
70201,566.0
70227,68.0
70243,233.0
70250,64.0
70292,0.0
70318,40.0
70326,480.0
70334,184.0
70359,72.0
70367,34.0
70375,22.0
70383,0.0
70409,105.0
70417,408.0
70425,1474.0
70458,32.0
70466,542.0
70482,728.0
70490,48.0
70508,2530.0
70516,542.0
70524,9700.0
70532,6648.0
70540,45840.0
70565,11688.0
70573,25182.0
70581,27504.0
70599,260.0
70607,1692.0
70615,3826.0
70623,2216.0
70649,676.0
70656,3042.0
70672,366.0
70680,904.0
70698,26.0
70706,526.0
70714,1862.0
70722,748.0
70730,616.0
70763,84.0
70789,370.0
70797,464.0
70805,3434.0
70813,152.0
70821,38.0
70839,2372.0
70847,3772.0
70854,4845.0
70862,10636.0
70870,800.0
70888,0.0
70896,8374.0
70904,3260.0
70912,10520.0
70920,19426.0
70938,1376.0
70953,8232.0
70961,3086.0
70979,330.0
70995,1944.0
71001,350.0
71019,424.0
71035,3690.0
71043,29772.0
71050,1528.0
71068,2774.0
71076,7618.0
71084,356.0
71092,2856.0
71100,2660.0
71134,2606.0
71142,246.0
71167,40232.0
71175,13884.0
71209,548.0
71217,12910.0
71233,348.0
71266,6588.0
71274,362.0
71282,8906.0
71290,21534.0
71324,448.0
71357,1218.0
71365,428.0
71373,310.0
71381,1310.0
71399,3746.0
71407,430.0
71415,150.0
71423,352.0
71431,492.0
71449,728.0
71456,404.0
71464,26224.0
71472,2240.0
71498,5494.0
71506,918.0
71514,22.0
71522,3094.0
71530,0.0
71548,1082.0
71555,218.0
71563,796.0
71571,1156.0
71621,5022.0
71639,1382.0
71647,368.0
71654,644.0
71662,198.0
71670,0.0
71696,526.0
71738,114.0
71746,62.0
71761,0.0
71795,104.0
71803,708.0
71811,1476.0
71829,550.0
71837,11136.0
71852,528.0
71860,8532.0
71894,488.0
71902,4924.0
71944,610.0
71951,0.0
71969,1158.0
71985,1122.0
71993,9012.0
72009,1204.0
72017,1438.0
72025,287.0
72033,1424.0
72041,2884.0
72058,1330.0
72082,1622.0
72090,960.0
72108,149.0
72116,824.0
72132,856.0
72140,295.0
72157,2182.0
72173,2100.0
72181,978.0
72199,2376.0
72207,360.0
72215,1432.0
72223,496.0
72231,24912.0
72249,5210.0
72256,60246.0
72264,618.0
72298,1102.0
72306,396.0
72348,1404.0
72355,1122.0
72363,770.0
72371,1932.0
72389,972.0
72397,1302.0
72405,1020.0
72413,820.0
72421,688.0
72447,1622.0
72454,7902.0
72462,21604.0
72470,1644.0
72504,356.0
72512,6850.0
72520,5402.0
72538,43298.0
72546,15266.0
72553,17284.0
72561,13252.0
72579,59.0
72603,35070.0
72611,610.0
72652,36242.0
72678,17464.0
72686,2064.0
72694,16604.0
72702,3126.0
72710,20586.0
72728,76.0
72736,20260.0
72744,3232.0
72751,3248.0
72769,578.0
73361,982.0
73379,80.0
73387,21548.0
73437,48580.0
73445,39878.0
73452,28976.0
73460,30518.0
73544,2806.0
73551,23574.0
73569,37262.0
73585,1798.0
73593,872.0
73601,6530.0
73619,3872.0
73635,57880.0
73643,51442.0
73650,72066.0
73668,864.0
73676,40926.0
73684,600.0
73692,2484.0
73700,96.0
73726,424.0
73742,10382.0
73759,38794.0
73783,2684.0
73791,44838.0
73809,4728.0
73825,9470.0
73833,126.0
73858,250.0
73866,524.0
73874,9672.0
73882,11974.0
73890,4080.0
73908,7598.0
73916,834.0
73924,21176.0
73932,5588.0
73940,13162.0
73957,16518.0
73965,32766.0
73973,9132.0
73981,8134.0
73999,10852.0
75002,5954.0
75010,464.0
75028,584.0
75036,564.0
75044,45108.0
75051,1484.0
75069,23190.0
75077,27164.0
75085,24654.0
75093,22686.0
75101,32066.0
75119,668.0
75127,6632.0
75150,0.0
75168,1556.0
75176,45562.0
75184,588.0
75192,60098.0
75200,47792.0
75218,177.0
75234,3876.0
75242,42878.0
75259,2418.0
75267,4828.0
75275,2670.0
75283,30442.0
75291,11178.0
75309,2478.0
75317,4994.0
75325,5418.0
75333,13786.0
75341,20352.0
75358,10338.0
75366,5604.0
75374,1102.0
75382,1360.0
75390,3152.0
75408,3362.0
75416,246.0
75432,5110.0
75440,10294.0
75457,13732.0
75465,1350.0
75473,5218.0
75481,4214.0
75499,30522.0
75507,4104.0
75515,7654.0
75523,27126.0
75531,13548.0
75549,4228.0
75556,6302.0
75564,11168.0
75572,3388.0
75580,4004.0
75598,2756.0
75606,1702.0
75614,8530.0
75630,1132.0
75663,2076.0
75697,1668.0
75713,33566.0
75739,28322.0
76414,3224.0
76455,1372.0
76497,1316.0
76505,54664.0
76513,1368.0
76547,624.0
76562,1356.0
76687,3850.0
76760,10140.0
76778,4786.0
76786,28460.0
76794,4476.0
76802,2686.0
76828,11686.0
76836,5676.0
76851,5764.0
76869,7056.0
76877,1542.0
76885,828.0
76893,1410.0
76901,776.0
76935,214.0
76943,762.0
76950,626.0
76968,844.0
76976,1634.0
77032,358.0
